BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,,,,,,,,,,,,
#,Idle: 0.3,,,,,,,,,,,
#,H,H,H,H,H,D1,D1,D1,D1,D1,B1,B2
#,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,40,60,70,90,100,0,0,0,0,0,8.85E-05,0.000115018
1,38.07428211,57.11142316,66.62999369,85.66713474,95.18570526,0.245663786,0.368495678,0.429911625,0.552743518,0.614159464,0.132080998,0.171705297
2,37.01502509,55.52253764,64.77629391,83.28380646,92.53756273,0.699953533,1.0499303,1.224918683,1.574895449,1.749883833,0.387135854,0.503276611
3,36.48806547,54.73209821,63.85411458,82.09814732,91.22016369,0.90899313,1.363489696,1.590737978,2.045234543,2.272482826,0.510284692,0.663370099
4,35.34415368,53.01623052,61.85226895,79.52434579,88.36038421,1.294141526,1.941212289,2.264747671,2.911818434,3.235353815,0.74803972,0.972451636
5,34.28959969,51.43439954,60.00679946,77.1515993,85.72399923,1.639468044,2.459202066,2.869069077,3.688803099,4.09867011,0.974687925,1.267094303
6,33.80209582,50.70314373,59.15366769,76.0547156,84.50523955,1.798641319,2.697961979,3.147622308,4.046942968,4.496603298,1.083952372,1.409138084
7,32.75409096,49.13113644,57.31965918,73.69670467,81.88522741,2.092694352,3.139041527,3.662215115,4.708562291,5.231735879,1.294570755,1.682941982
8,32.294235,48.4413525,56.51491125,72.66202875,80.7355875,2.228582693,3.34287404,3.900019713,5.01431106,5.571456733,1.396007522,1.814809779
9,31.35304902,47.02957352,54.86783578,70.54436028,78.38262254,2.480445811,3.720668716,4.340780168,5.581003074,6.201114526,1.591341563,2.068744032
10,30.40380434,45.60570652,53.2066576,68.40855977,76.00951086,2.708670697,4.063006045,4.74017372,6.094509068,6.771676742,1.776894079,2.309962303
11,29.98756811,44.98135216,52.47824419,67.47202825,74.96892027,2.814938059,4.222407089,4.926141604,6.333610633,7.037345148,1.866103079,2.425934002
12,29.1367317,43.70509755,50.98928048,65.55764633,72.84182926,3.013657334,4.520486,5.273900334,6.780729001,7.534143334,2.03758618,2.648862034
13,28.7038846,43.05582691,50.23179806,64.58374036,71.75971151,3.106805322,4.660207982,5.436909313,6.990311974,7.767013304,2.119939441,2.755921273
14,27.90424348,41.85636522,48.83242609,62.78454783,69.7606087,3.282289431,4.923434147,5.744006505,7.385151221,8.205723579,2.27806556,2.961485228
