BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,2.05701674,3.08552511,3.599779295,4.628287665,5.14254185,0.355496061,0.533244092,0.622118107,0.799866137,0.888740153,-0.221507492,-0.28795974
#,0.700230835,1.050346253,1.225403962,1.575519379,1.750577088,0.393662233,0.590493349,0.688908907,0.885740023,0.984155581,-0.296095507,-0.384924159
#,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,21712.95448,32569.43172,37997.67034,48854.14757,54282.38619,0,0,0,0,0,-0.048026656,-0.062434653
1,20667.62885,31001.44328,36168.35049,46502.16492,51669.07213,133.3521648,200.0282472,233.3662885,300.0423709,333.3804121,-71.69671741,-93.20573264
2,20092.63887,30138.95831,35162.11802,45208.43746,50231.59718,379.95148,569.92722,664.91509,854.89083,949.8787,-210.1465796,-273.1905535
3,19806.59262,29709.88892,34661.53708,44564.83338,49516.48154,493.4231615,740.1347423,863.4905326,1110.202113,1233.557904,-276.994707,-360.0931191
4,19185.65,28778.475,33574.8875,43167.7125,47964.125,702.4909011,1053.736352,1229.359077,1580.604527,1756.227253,-406.0538097,-527.8699526
5,18613.21293,27919.81939,32573.12262,41879.72909,46533.03232,889.9423753,1334.913563,1557.399157,2002.370344,2224.855938,-529.0838636,-687.8090227
6,18348.58419,27522.87629,32110.02234,41284.31444,45871.46049,976.3454271,1464.518141,1708.604497,2196.777211,2440.863568,-588.3952129,-764.9137767
7,17779.70215,26669.55323,31114.47876,40004.32984,44449.25538,1135.96443,1703.946645,1987.937752,2555.919967,2839.911074,-702.723897,-913.5410661
8,17530.08136,26295.12204,30677.64238,39442.68306,43825.2034,1209.727864,1814.591796,2117.023762,2721.887694,3024.31966,-757.7861945,-985.1220529
9,17019.18315,25528.77472,29783.57051,38293.16209,42547.95787,1346.445174,2019.667761,2356.279055,3029.501642,3366.112935,-863.8181731,-1122.963625
10,16503.91049,24755.86574,28881.84336,37133.79861,41259.77623,1470.331088,2205.496633,2573.079405,3308.244949,3675.827721,-964.5405063,-1253.902658
11,16277.96753,24416.9513,28486.44318,36625.42695,40694.91883,1528.015548,2292.023323,2674.02721,3438.034984,3820.038871,-1012.96528,-1316.854864
12,15816.11323,23724.16984,27678.19815,35586.25476,39540.28307,1635.885112,2453.827669,2862.798947,3680.741503,4089.712781,-1106.050399,-1437.865519
13,15581.15349,23371.73024,27267.01861,35057.59536,38952.88373,1686.448063,2529.672094,2951.28411,3794.508142,4216.120157,-1150.753714,-1495.979829
14,15147.08921,22720.63382,26507.40612,34080.95072,37867.72303,1781.705025,2672.557538,3117.983794,4008.836307,4454.262563,-1236.588345,-1607.564849
15,14730.33313,22095.49969,25778.08297,33143.24953,36825.83281,1870.199082,2805.298623,3272.848394,4207.947935,4675.497705,-1317.800843,-1713.141096
16,14518.84448,21778.26673,25407.97785,32667.40009,36297.11121,1912.276493,2868.41474,3346.483863,4302.62211,4780.691233,-1356.726024,-1763.743831
17,14127.30797,21190.96195,24722.78894,31786.44292,35318.26991,1992.754013,2989.13102,3487.319523,4483.696529,4981.885033,-1431.317627,-1860.712915
18,13751.32957,20626.99436,24064.82675,30940.49154,34378.32393,2069.121408,3103.682111,3620.962463,4655.523167,5172.803519,-1501.700596,-1952.210775
19,13561.08589,20341.62884,23731.90031,30512.44326,33902.71473,2106.033764,3159.050646,3685.559087,4738.575969,5265.084409,-1535.364519,-1995.973875
20,13207.63614,19811.45422,23113.36325,29717.18133,33019.09036,2177.794999,3266.692498,3811.141247,4900.038747,5444.487496,-1599.737501,-2079.658752
21,13043.23851,19564.85776,22825.66738,29347.28664,32608.09626,2212.815827,3319.223741,3872.427698,4978.835611,5532.039568,-1630.486291,-2119.632179
22,12709.72744,19064.59117,22242.02303,28596.88675,31774.31861,2281.521097,3422.281645,3992.66192,5133.422468,5703.802742,-1689.206861,-2195.968919
23,12388.98154,18583.47231,21680.71769,27875.20846,30972.45384,2348.886829,3523.330244,4110.551951,5284.995366,5872.217073,-1744.354486,-2267.660832
24,12227.18218,18340.77327,21397.56881,27511.1599,30567.95544,2382.212447,3573.31867,4168.871782,5359.978005,5955.531117,-1770.636628,-2301.827617
25,11924.69114,17887.03671,20868.2095,26830.55507,29811.72785,2448.393705,3672.590557,4284.688984,5508.885836,6120.984262,-1820.71285,-2366.926705
26,11772.30336,17658.45504,20601.53088,26487.68257,29430.75841,2481.33247,3721.998705,4342.331823,5582.998058,6203.331176,-1844.544667,-2397.908067
27,11486.42484,17229.63726,20101.24347,25844.45589,28716.0621,2547.079721,3820.619582,4457.389512,5730.929373,6367.699303,-1889.889122,-2456.855858
28,11210.54052,16815.81078,19618.44591,25223.71617,28026.3513,2612.834626,3919.251939,4572.460595,5878.877908,6532.086565,-1932.264429,-2511.943758
29,11080.75522,16621.13284,19391.32164,24931.69925,27701.88806,2645.768031,3968.652046,4630.094054,5952.97807,6614.420077,-1952.384346,-2538.099649
