BveTs Vehicle Performance Table 2.00:shift_jis,,,,,,,,,,,,
#,H,H,H,H,H,D1,D1,D1,D1,D1,B1,B2
BreakerDelay_On,0,0,0,0,0,0,0,0,0,0,0,0
BreakerDelay_Off,0,0,0,0,0,0,0,0,0,0,0,0
CurrentReducingTime,0,0,0,0,0,0,0,0,0,0,0,0
JerkRegulation_Up,50,25,25,25,25,25,25,25,90,90,90,90
JerkRegulation_Down,25,25,25,25,25,25,25,25,90,90,90,90
RequiredNotch_Up,2,3,4,5,6,7,8,9,10,11,12,13
RequiredNotch_Down,0,1,2,3,4,5,6,7,8,9,10,11
Stepdelay_Up,0,0,0,0,0,0,0,0,0,0,0,0
Stepdelay_Down,0,0,0,0,0,0,0,0,0,0,0,0
CurrentLimitingValue_Empty,0,0,0,0,0,0,0,0,0,0,0,0
CurrentLimitingValue_Full,0,0,0,0,0,0,0,0,0,0,0,0
