BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF13HS_TC-2B.xlsx,,,,,,,
#,R: ,2.976,,W: ,Current,,E: ,2,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,0.25,0.45,0.7,0.9,1,3.00E-01,0.45,0.7,0.9,1,0.00E+00,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,25,45,70,90,100,0.00E+00,0,0,0,0,0.00E+00,0
1,23.79642632,42.83356737,66.62999369,85.66713474,95.18570526,0.01209157,0.276371759,0.429911625,0.552743518,0.614159464,0.040305235,0.08061047
2,23.13439068,41.64190323,64.77629391,83.28380646,92.53756273,0.03578257,0.787447725,1.224918683,1.574895449,1.749883833,0.119275233,0.238550466
3,22.44497926,40.40096267,62.84594193,80.80192534,89.77991704,0.058693646,1.245201143,1.936979556,2.490402286,2.767113651,0.195645486,0.391290971
4,21.77411594,39.19340869,60.96752462,78.38681737,87.09646375,0.080838081,1.65542406,2.575104094,3.310848121,3.678720134,0.26946027,0.53892054
5,21.12630989,38.0273578,59.15366769,76.0547156,84.50523955,0.102229368,2.023471484,3.147622308,4.046942968,4.496603298,0.340764558,0.681529117
6,20.47130685,36.84835233,57.31965918,73.69670467,81.88522741,0.122881204,2.354281146,3.662215115,4.708562291,5.231735879,0.409604015,0.81920803
7,19.87198582,35.76957448,55.64156031,71.53914897,79.4879433,0.142807499,2.652392857,4.125944445,5.304785715,5.89420635,0.476024998,0.952049997
8,19.29583819,34.73250875,54.02834694,69.4650175,77.18335278,0.162022368,2.921967453,4.545282704,5.843934906,6.493261006,0.54007456,1.080149121
9,18.74223007,33.73601412,52.47824419,67.47202825,74.96892027,0.180540134,3.166805317,4.926141604,6.333610633,7.037345148,0.601800447,1.203600894
10,18.21045731,32.77882317,50.98928048,65.55764633,72.84182926,0.198375329,3.3903645,5.273900334,6.780729001,7.534143334,0.661251097,1.322502194
11,17.69977536,31.85959566,49.55937102,63.71919131,70.79910146,0.215542693,3.595778426,5.593433108,7.191556853,7.990618725,0.718475643,1.436951286
12,17.18633092,30.93539565,48.12172656,61.8707913,68.74532366,0.232057173,3.78587318,5.889136058,7.57174636,8.413051511,0.773523911,1.547047822
13,16.71679976,30.09023956,46.80703932,60.18047912,66.86719902,0.247933926,3.963184388,6.164953492,7.926368776,8.807076417,0.826446421,1.652892841
14,16.49959105,29.69926389,46.19885494,59.39852778,65.9983642,0.255637948,4.047763184,6.296520508,8.095526367,8.995029297,0.852126493,1.704252986
15,16.05720895,28.9029761,44.96018505,57.80595221,64.22883579,0.270586982,4.210058415,6.548979757,8.42011683,9.355685367,0.901956607,1.803913214
16,15.61404956,28.10528921,43.71933877,56.21057842,62.45619824,0.284937089,4.364745455,6.789604041,8.72949091,9.699434345,0.949790296,1.899580592
17,15.20709234,27.3727662,42.57985854,54.74553241,60.82836934,0.298704152,4.51347029,7.020953784,9.026940579,10.02993398,0.995680508,1.991361015
18,14.81600152,26.66880274,41.48480427,53.33760549,59.2640061,0.311904265,4.657659295,7.245247793,9.315318591,10.35035399,1.039680882,2.079361764
19,14.43997328,25.99195191,40.43192519,51.98390382,57.75989313,0.324553726,4.79853385,7.464385988,9.597067699,10.66340855,1.081845753,2.163691506
20,14.07821099,25.34077979,39.41899078,50.68155958,56.31284397,0.336669045,4.937124527,7.679971487,9.874249054,10.97138784,1.122230149,2.244460298
21,13.72992694,24.71386848,38.44379542,49.42773697,54.91970774,0.348266937,5.074284886,7.893332044,10.14856977,11.27618863,1.16088979,2.321779581
22,13.39434377,24.10981879,37.50416256,48.21963758,53.57737509,0.359364328,5.210704837,8.105540857,10.42140967,11.57934408,1.197881093,2.395762185
23,13.07069589,23.5272526,36.59794849,47.0545052,52.28278355,0.369978349,5.346923607,8.317436722,10.69384721,11.88205246,1.233261164,2.466522328
24,12.75823062,22.96481511,35.72304573,45.92963022,51.03292247,0.380126342,5.483342284,8.529643553,10.96668457,12.18520508,1.267087806,2.534175611
25,12.45620936,22.42117684,34.8773862,44.84235369,49.82483743,0.389825854,5.62023595,8.742589255,11.2404719,12.48941322,1.299419513,2.598839027
26,12.16390861,21.89503549,34.0589441,43.79007098,48.65563442,0.399094643,5.757765405,8.956523963,11.51553081,12.79503423,1.330315476,2.660630952
27,11.88062092,21.38511766,33.26573858,42.77023532,47.52248369,0.407950673,5.895988477,9.171537631,11.79197695,13.10219662,1.359835576,2.719671153
28,11.73738715,21.12729686,32.86468401,42.25459373,46.94954859,0.412229574,5.965352723,9.27943757,11.93070545,13.25633939,1.374098581,2.748197162
29,11.46634934,20.63942882,32.10577816,41.27885763,45.86539737,0.420500605,6.104526107,9.4959295,12.20905221,13.56561357,1.401668684,2.803337367
30,11.20256505,20.16461709,31.36718214,40.32923418,44.8102602,0.428404699,6.244157662,9.713134141,12.48831532,13.87590592,1.428015664,2.856031329
31,10.94538746,19.70169742,30.64708488,39.40339485,43.78154983,0.43596055,6.384027914,9.930710089,12.76805583,14.1867287,1.453201832,2.906403665
32,10.69418974,19.24954153,29.94373127,38.49908306,42.77675896,0.443187057,6.523860203,10.14822698,13.04772041,14.49746712,1.477290191,2.954580383
33,10.44836587,18.80705857,29.25542444,37.61411714,41.79346349,0.450103331,6.66332972,10.36517956,13.32665944,14.80739938,1.500344438,3.000688876
34,10.20733143,18.37319657,28.580528,36.74639315,40.82932572,0.456728689,6.802072141,10.58100111,13.60414428,15.11571587,1.522428963,3.044857926
35,9.970524397,17.94694392,27.91746831,35.89388783,39.88209759,0.463082655,6.939691836,10.79507619,13.87938367,15.42153741,1.54360885,3.087217701
36,9.737405988,17.52733078,27.26473677,35.05466156,38.94962395,0.469184963,7.075769675,11.00675283,14.15153935,15.72393261,1.563949877,3.127899754
37,9.521447207,17.13860497,26.66005218,34.27720994,38.08578883,0.475055554,7.209870418,11.21535398,14.41974084,16.02193426,1.583518515,3.16703703
38,9.295456546,16.73182178,26.02727833,33.46364357,37.18182618,0.480714578,7.34154969,11.42018841,14.68309938,16.31455487,1.602381928,3.204763856
39,9.071849909,16.32932984,25.40117974,32.65865967,36.28739964,0.486182392,7.470360549,11.62056085,14.9407211,16.60080122,1.620607974,3.241215948
40,8.850191056,15.9303439,24.78053496,31.8606878,35.40076423,0.491479562,7.595859637,11.81578166,15.19171927,16.87968808,1.638265206,3.276530411
41,8.730664251,15.71519565,24.4458599,31.4303913,34.922657,0.494070638,7.657231118,11.91124841,15.31446224,17.01606915,1.646902128,3.293804256
42,8.510271472,15.31848865,23.82876012,30.6369773,34.04108589,0.499150857,7.776953117,12.09748263,15.55390623,17.28211804,1.663836188,3.327672377
43,8.312497262,14.96249507,23.27499233,29.92499014,33.24998905,0.504112754,7.892307282,12.27692244,15.78461456,17.53846063,1.680375848,3.360751695
44,8.09562193,14.57211947,22.6677414,29.14423895,32.38248772,0.508977625,8.002905293,12.44896379,16.00581059,17.78423398,1.696592084,3.393184168
45,7.87915583,14.18248049,22.06163632,28.36496099,31.51662332,0.513766971,8.108384993,12.61304332,16.21676999,18.01863332,1.712556571,3.425113142
46,7.662819984,13.79307597,21.45589595,27.58615194,30.65127994,0.518502502,8.208414276,12.76864443,16.41682855,18.24092061,1.728341674,3.456683348
47,7.446366577,13.40345984,20.84982642,26.80691968,29.78546631,0.523206136,8.302694551,12.91530263,16.6053891,18.45043234,1.744020453,3.488040906
48,7.229579741,13.01324353,20.24282328,26.02648707,28.91831897,0.527899998,8.390963805,13.05261036,16.78192761,18.64658623,1.759666661,3.519333322
49,7.045023778,12.6810428,19.72606658,25.3620856,28.18009511,0.532606424,8.472999249,13.18022105,16.9459985,18.82888722,1.775354745,3.55070949
50,6.829785203,12.29361337,19.12339857,24.58722673,27.31914081,0.537347954,8.548619547,13.29785263,17.09723909,18.99693233,1.791159845,3.58231969
51,6.613891383,11.90500449,18.51889587,23.81000898,26.45556553,0.542147339,8.61768664,13.40529033,17.23537328,19.15041476,1.807157795,3.61431559
52,6.397252808,11.51505505,17.91230786,23.03011011,25.58901123,0.547027537,8.680107153,13.50238891,17.36021431,19.28912701,1.823425123,3.646850245
53,6.219983329,11.19596999,17.41595332,22.39193999,24.87993332,0.552011714,8.735833392,13.58907416,17.47166678,19.41296309,1.840039048,3.680078096
54,6.00469608,10.80845294,16.81314902,21.61690589,24.01878432,0.557123246,8.784863922,13.66534388,17.56972784,19.52191983,1.857077486,3.714154972
55,5.917513503,10.65152431,16.56903781,21.30304861,23.67005401,0.559734131,8.806880548,13.69959196,17.6137611,19.57084566,1.865780435,3.731560871
56,5.702638004,10.26474841,15.96738641,20.52949681,22.81055202,0.565080975,8.845966345,13.76039209,17.69193269,19.65770299,1.883603249,3.767206498
57,5.487149754,9.876869557,15.36401931,19.75373911,21.94859902,0.570614519,8.878555352,13.8110861,17.7571107,19.730123,1.902048396,3.804096791
58,5.271128694,9.488031649,14.75916034,18.9760633,21.08451478,0.576358865,8.904806686,13.85192151,17.80961337,19.7884593,1.921196217,3.842392434
59,5.104797416,9.18863535,14.29343277,18.3772707,20.41918967,0.582338325,8.924923246,13.88321394,17.84984649,19.83316277,1.941127748,3.882255497
60,4.891127849,8.804030127,13.69515798,17.60806025,19.56451139,0.588577416,8.939150026,13.90534449,17.87830005,19.86477784,1.961924719,3.923849438
61,4.67738562,8.419294115,13.09667974,16.83858823,18.70954248,0.595100865,8.947772013,13.91875647,17.89554403,19.88393781,1.983669551,3.967339101
