BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF13HS_TC-2B.xlsx,,,,,,,
#,R: ,2.976,,W: ,Force,,E: ,1,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,0.767831569,1.382096823,2.149928392,2.764193647,3.071326274,-0.016503709,0.262555998,0.408420442,0.525111996,0.583457774,-0.055012363,-0.110024726
#,0.209764987,0.377576977,0.587341965,0.755153955,0.83905995,-0.035135729,0.253549847,0.394410874,0.507099695,0.563444105,-0.117119096,-0.234238193
#,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,8104.888779,14588.7998,22693.68858,29177.5996,32419.55512,0,0,0,0,0,0,0
1,7714.695545,13886.45198,21601.14753,27772.90396,30858.78218,-3.920033339,89.59849466,139.3754361,179.1969893,199.1077659,-13.0667778,-26.13355559
2,7500.066538,13500.11977,21000.18631,27000.23954,30000.26615,-11.60054997,255.2870491,397.1131875,510.5740982,567.3045536,-38.6684999,-77.33699981
3,7276.562422,13097.81236,20374.37478,26195.62472,29106.24969,-19.02821881,403.6886708,627.9601546,807.3773416,897.0859351,-63.42739602,-126.854792
4,7059.071517,12706.32873,19765.40025,25412.65746,28236.28607,-26.20734624,536.6811157,834.8372911,1073.362231,1192.624702,-87.35782082,-174.7156416
5,6849.055678,12328.30022,19177.3559,24656.60044,27396.22271,-33.14230614,656.000453,1020.445149,1312.000906,1457.778784,-110.4743538,-220.9487076
6,6636.706608,11946.07189,18582.7785,23892.14379,26546.82643,-39.83753981,763.2474736,1187.273848,1526.494947,1696.105497,-132.7917994,-265.5835987
7,6442.409397,11596.33691,18038.74631,23192.67383,25769.63759,-46.29755601,859.8939642,1337.612833,1719.787928,1910.875476,-154.3251867,-308.6503734
8,6255.624898,11260.12482,17515.74972,22520.24963,25022.49959,-52.52693094,947.2888488,1473.560432,1894.577698,2105.086331,-175.0897698,-350.1795396
9,6076.147607,10937.06569,17013.2133,21874.13138,24304.59043,-58.53030828,1026.664195,1597.033192,2053.32839,2281.475989,-195.1010276,-390.2020552
10,5903.749246,10626.74864,16530.49789,21253.49729,23614.99698,-64.31239914,1099.141088,1709.775025,2198.282176,2442.535751,-214.3746638,-428.7493276
11,5738.188429,10328.73917,16066.9276,20657.47835,22952.75372,-69.8779821,1165.735369,1813.366129,2331.470738,2590.523042,-232.926607,-465.853214
12,5571.732024,10029.11764,15600.84967,20058.23528,22286.92809,-75.23190318,1227.363242,1909.23171,2454.726484,2727.473872,-250.7730106,-501.5460212
13,5419.51211,9755.121799,15174.63391,19510.2436,21678.04844,-80.37907584,1284.846747,1998.650495,2569.693494,2855.214993,-267.9302528,-535.8605056
14,5349.094014,9628.369225,14977.46324,19256.73845,21396.37606,-82.87668543,1312.266816,2041.303936,2624.533633,2916.148481,-276.2556181,-552.5112362
15,5205.675704,9370.216268,14575.89197,18740.43254,20822.70282,-87.72309581,1364.882208,2123.150102,2729.764417,3033.071574,-292.4103194,-584.8206387
16,5062.005403,9111.609726,14173.61513,18223.21945,20248.02161,-92.37533657,1415.031058,2201.159424,2830.062117,3144.513463,-307.9177886,-615.8355771
17,4930.071681,8874.129026,13804.20071,17748.25805,19720.28673,-96.83855728,1463.246988,2276.161982,2926.493976,3251.659974,-322.7951909,-645.5903819
18,4803.28178,8645.907204,13449.18898,17291.81441,19213.12712,-101.117975,1509.992422,2348.877101,3019.984845,3355.538716,-337.0599165,-674.119833
19,4681.375097,8426.475175,13107.85027,16852.95035,18725.50039,-105.218874,1555.663326,2419.920729,3111.326652,3457.029614,-350.7295802,-701.4591603
20,4564.093372,8215.36807,12779.46144,16430.73614,18256.37349,-109.1466065,1600.593807,2489.812589,3201.187614,3556.875127,-363.8220216,-727.6440432
21,4451.18123,8012.126215,12463.30744,16024.25243,17804.72492,-112.9065916,1645.060585,2558.983133,3290.12117,3655.690189,-376.3553054,-752.7106109
22,4342.386662,7816.295991,12158.68265,15632.59198,17369.54665,-116.5043163,1689.287326,2627.780286,3378.574653,3753.971837,-388.3477211,-776.6954421
23,4237.461457,7627.430623,11864.89208,15254.86125,16949.84583,-119.9453348,1733.448846,2696.475982,3466.897692,3852.108546,-399.8177827,-799.6355654
24,4136.161607,7445.090892,11581.2525,14890.18178,16544.64643,-123.2352688,1777.675174,2765.272493,3555.350348,3950.389275,-410.7842295,-821.568459
25,4038.247658,7268.845784,11307.09344,14537.69157,16152.99063,-126.3798076,1822.055491,2834.308542,3644.110983,4049.012203,-421.2660253,-842.5320506
26,3943.485055,7098.273098,11041.75815,14196.5462,15773.94022,-129.3847077,1866.641929,2903.665223,3733.283858,4148.093175,-431.282359,-862.564718
27,3851.644448,6932.960006,10784.60445,13865.92001,15406.57779,-132.2557932,1911.453234,2973.371697,3822.906468,4247.673853,-440.8526441,-881.7052883
28,3805.208695,6849.375651,10654.58435,13698.7513,15220.83478,-133.642994,1933.940814,3008.352377,3867.881628,4297.646253,-445.4766467,-890.9532935
29,3717.339445,6691.211001,10408.55045,13382.422,14869.35778,-136.3244254,1979.060206,3078.538098,3958.120411,4397.911568,-454.4147515,-908.8295029
30,3631.821751,6537.279152,10169.1009,13074.5583,14527.287,-138.8868976,2024.328135,3148.954876,4048.656269,4498.506966,-462.9563254,-925.9126507
31,3548.445919,6387.202655,9935.648574,12774.40531,14193.78368,-141.3364707,2069.673448,3219.492031,4139.346896,4599.274329,-471.121569,-942.243138
32,3467.008737,6240.615726,9707.624463,12481.23145,13868.03495,-143.6792724,2115.006454,3290.01004,4230.012908,4700.014342,-478.9309078,-957.8618157
33,3387.313733,6097.164719,9484.478451,12194.32944,13549.25493,-145.9214976,2160.221851,3360.345102,4320.443702,4800.493003,-486.4049921,-972.8099842
34,3309.171439,5956.50859,9265.680029,11913.01718,13236.68576,-148.069409,2205.201527,3430.313486,4410.403053,4900.447837,-493.5646968,-987.1293937
35,3232.399652,5818.319374,9050.719026,11636.63875,12929.59861,-150.1293366,2249.81722,3499.715675,4499.634439,4999.593821,-500.431122,-1000.862244
36,3156.823701,5682.282662,8839.106363,11364.56532,12627.2948,-152.1076777,2293.93305,3568.340299,4587.866099,5097.628999,-507.0255924,-1014.051185
37,3086.810825,5556.259485,8643.07031,11112.51897,12347.2433,-154.0108973,2337.407914,3635.967866,4674.815828,5194.239808,-513.3696577,-1026.739315
38,3013.545658,5424.382185,8437.927843,10848.76437,12054.18263,-155.8455277,2380.097748,3702.374275,4760.195496,5289.106107,-519.4850922,-1038.970184
39,2941.053381,5293.896086,8234.949467,10587.79217,11764.21352,-157.6181686,2421.857655,3767.334131,4843.715311,5381.905901,-525.3938954,-1050.787791
40,2869.192567,5164.546621,8033.739189,10329.09324,11476.77027,-159.3354874,2462.543901,3830.623847,4925.087803,5472.319781,-531.1182913,-1062.236583
41,2830.442509,5094.796516,7925.239025,10189.59303,11321.77004,-160.1755029,2482.440263,3861.573742,4964.880525,5516.533917,-533.918343,-1067.836686
42,2758.99215,4966.185871,7725.178021,9932.371741,11035.9686,-161.822487,2521.253602,3921.950048,5042.507204,5602.785782,-539.4082901,-1078.81658
43,2694.874631,4850.774337,7545.648968,9701.548673,10779.49853,-163.4311122,2558.650909,3980.123636,5117.301818,5685.890909,-544.770374,-1089.540748
44,2624.564614,4724.216305,7348.780918,9448.432609,10498.25845,-165.0082818,2594.506292,4035.898677,5189.012584,5765.569538,-550.0276058,-1100.055212
45,2554.387267,4597.897081,7152.284347,9195.794161,10217.54907,-166.5609664,2628.702342,4089.092532,5257.404684,5841.56076,-555.2032214,-1110.406443
46,2484.252148,4471.653867,6955.906015,8943.307733,9937.008592,-168.0962045,2661.13139,4139.537718,5322.26278,5913.625312,-560.3206816,-1120.641363
47,2414.078917,4345.34205,6759.420967,8690.6841,9656.315667,-169.6211016,2691.696636,4187.083656,5383.393272,5981.54808,-565.403672,-1130.807344
48,2343.797589,4218.83566,6562.633249,8437.67132,9375.190355,-171.1428309,2720.313136,4231.598211,5440.626271,6045.140301,-570.4761031,-1140.952206
49,2283.965367,4111.13766,6395.103027,8222.27532,9135.861467,-172.668633,2746.908661,4272.969029,5493.817323,6104.24147,-575.5621101,-1151.12422
50,2214.185978,3985.534761,6199.720739,7971.069522,8856.743913,-174.205816,2771.424426,4311.104662,5542.848851,6158.720946,-580.6860532,-1161.372106
51,2144.194162,3859.549492,6003.743654,7719.098984,8576.776649,-175.7617552,2793.81567,4345.935487,5587.63134,6208.479266,-585.8725175,-1171.745035
52,2073.9609,3733.12962,5807.09052,7466.25924,8295.8436,-177.3438938,2814.052123,4377.414413,5628.104245,6253.449161,-591.1463126,-1182.292625
53,2016.490924,3629.683662,5646.174586,7259.367325,8065.963694,-178.959742,2832.118321,4405.517389,5664.236642,6293.596269,-596.5324733,-1193.064947
54,1946.695755,3504.052359,5450.748115,7008.104719,7786.783021,-180.6168778,2848.013801,4430.24369,5696.027602,6328.919558,-602.0562592,-1204.112518
55,1918.431552,3453.176793,5371.608344,6906.353586,7673.726206,-181.463315,2855.151493,4441.346767,5710.302987,6344.781096,-604.8777166,-1209.755433
56,1848.769871,3327.785767,5176.555638,6655.571535,7395.079483,-183.196738,2867.822935,4461.057899,5735.64587,6372.939855,-610.6557935,-1221.311587
57,1778.909539,3202.03717,4980.946708,6404.074339,7115.638155,-184.9906884,2878.388146,4477.492671,5756.776291,6396.418101,-616.635628,-1233.271256
58,1708.876472,3075.97765,4784.854122,6151.9553,6835.505889,-186.8529799,2886.898711,4490.731329,5773.797423,6415.33047,-622.8432665,-1245.686533
59,1654.952612,2978.914701,4633.867313,5957.829403,6619.810448,-188.7914941,2893.420411,4500.876195,5786.840822,6429.823135,-629.3049803,-1258.609961
60,1585.681889,2854.2274,4439.909288,5708.454799,6342.727554,-190.8141797,2898.03267,4508.050819,5796.065339,6440.072599,-636.0472656,-1272.094531
61,1516.387609,2729.497696,4245.885305,5458.995392,6065.550436,-192.929053,2900.827879,4512.398924,5801.655759,6446.284177,-643.0968433,-1286.193687
62,1464.741548,2636.534786,4101.276334,5273.069572,5858.966191,-195.1441978,2901.910584,4514.08313,5803.821168,6448.690186,-650.4806593,-1300.961319
63,1396.545337,2513.781606,3910.326942,5027.563211,5586.181346,-197.4677653,2901.396531,4513.283492,5802.793062,6447.547846,-658.2258842,-1316.451768
64,1346.429419,2423.572955,3770.002374,4847.14591,5385.717677,-199.9079741,2899.411591,4510.195808,5798.823181,6443.136868,-666.3599136,-1332.719827
65,1279.583872,2303.25097,3582.834843,4606.501941,5118.33549,-202.4731103,2896.090541,4505.02973,5792.181082,6435.756757,-674.9103678,-1349.820736
66,1213.089005,2183.560208,3396.649213,4367.120416,4852.356018,-205.1715276,2891.575717,4498.006671,5783.151434,6425.723815,-683.905092,-1367.810184
67,1165.944758,2098.700564,3264.645322,4197.401128,4663.779031,-208.0116469,2886.015529,4489.357489,5772.031058,6413.367842,-693.3721562,-1386.744312
68,1142.595645,2056.672161,3199.267806,4113.344322,4570.38258,-209.4874948,2882.891068,4484.497217,5765.782136,6406.424595,-698.2916492,-1396.583298
69,1078.589221,1941.460597,3020.049818,3882.921195,4314.356883,-212.556104,2876.050382,4473.856149,5752.100763,6391.22307,-708.5203466,-1417.040693
70,1033.760688,1860.769238,2894.529926,3721.538476,4135.042751,-215.7877629,2868.550998,4462.190441,5737.101996,6374.557773,-719.2925429,-1438.585086
