BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,Idle: 0.3,,,,,,,,,,Idle: 0.3,,,,,,,,,,,
#,H,H,H,H,H,D1,D1,D1,D1,D1,H,H,H,H,H,D1,D1,D1,D1,D1,B1,B2
#,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,4.00E-01,6.00E-01,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6.00E+00,7.00E+00,8,9,10,16,17
0,40,60,70,90,100,0,0,0,0,0,40,60,70,90,100,0.00E+00,0.00E+00,0,0,0,0.000118617,0.000154202
1,39.51491062,59.27236594,69.15109359,88.9085489,98.78727656,0.10298538,0.15447807,0.180224415,0.231717105,0.25746345,39.51491062,59.27236594,69.15109359,88.9085489,98.78727656,3.55E-01,5.33E-01,0.621312679,0.798830588,0.887589542,0.177077271,0.230200452
2,38.82645086,58.23967628,67.946289,87.35951443,97.06612714,0.342218197,0.513327295,0.598881844,0.769990942,0.855545491,38.76353848,58.14530773,67.83619235,87.21796159,96.90884621,9.82E-01,1.47E+00,1.717923033,2.208758185,2.454175761,0.519022128,0.674728766
3,37.77099942,56.65649912,66.09924898,84.98474868,94.42749854,0.590119963,0.885179944,1.032709935,1.327769916,1.475299907,37.70979724,56.56469586,65.99214518,84.8470438,94.27449311,1.49E+00,2.23E+00,2.607050066,3.351921513,3.724357236,0.845389776,1.099006709
4,37.06269488,55.59404232,64.85971604,83.39106348,92.65673719,0.847297282,1.270945923,1.482770244,1.906418885,2.118243205,36.94501484,55.41752226,64.65377597,83.12628338,92.36253709,1.89378217,2.840673255,3.314118798,4.261009883,4.734455425,1.156639183,1.503630938
5,36.06224515,54.09336773,63.10892902,81.14005159,90.15561288,1.114159644,1.671239465,1.949779376,2.506859198,2.785399109,35.9477417,53.92161255,62.90854798,80.88241883,89.86935425,2.207255923,3.310883885,3.862697866,4.966325827,5.518139808,1.453224391,1.889191708
6,35.36298231,53.04447347,61.88521905,79.56671021,88.40745578,1.390933299,2.086399949,2.434133274,3.129599924,3.477333248,35.19803941,52.79705912,61.59656897,79.19558868,87.99509853,2.442616133,3.6639242,4.274578233,5.495886299,6.106540333,1.73559452,2.256272877
7,34.41859602,51.62789403,60.23254303,77.44184104,86.04649004,1.677674781,2.516512171,2.935930866,3.774768257,4.194186952,34.258058,51.387087,59.9516015,77.0806305,85.645145,2.611343067,3.917014601,4.569850368,5.875521901,6.528357668,2.004193768,2.605451899
8,33.73360446,50.60040669,59.0338078,75.90061003,84.33401115,1.974284056,2.961426084,3.454997097,4.442139125,4.935710139,33.52823498,50.29235248,58.67441122,75.43852871,83.82058746,2.723988509,4.085982763,4.76697989,6.128974144,6.809971271,2.25946141,2.937299832
9,32.8433016,49.2649524,57.4757778,73.8974286,82.108254,2.280517326,3.42077599,3.990905321,5.131163984,5.701293316,32.64335227,48.96502841,57.12586647,73.44754261,81.60838068,2.790218105,4.185327157,4.882881684,6.277990736,6.975545262,2.501831796,3.252381334
10,32.17611173,48.26416759,56.30819552,72.39625139,80.44027932,2.595999467,3.893999201,4.542999068,5.840998801,6.489998668,31.93649778,47.90474667,55.88887112,71.85712001,79.84124445,2.818852845,4.228279268,4.932992479,6.342418902,7.047132113,2.731734356,3.551254663
11,31.33757589,47.00636384,54.84075781,70.50954576,78.34393973,2.920236104,4.380354155,5.110413181,6.570531233,7.300590259,31.10420648,46.65630972,54.43236134,69.98446458,77.7605162,2.817909658,4.226864486,4.931341901,6.340296729,7.044774144,2.949593596,3.834471674
12,30.52628426,45.78942639,53.42099746,68.68413959,76.31571066,3.25262533,4.878937994,5.692094327,7.318406992,8.131563324,30.2989565,45.44843475,53.02317388,68.17265213,75.74739125,2.794641134,4.191961701,4.890621985,6.287942552,6.986602836,3.155829099,4.102577829
13,29.90171537,44.85257305,52.32800189,67.27885958,74.75428842,3.592469069,5.388703604,6.286820871,8.083055406,8.981172673,29.64030495,44.46045743,51.87053367,66.69068615,74.10076239,2.75557438,4.13336157,4.822255164,6.200042354,6.888935949,3.350855525,4.356112183
14,29.13826884,43.70740327,50.99197048,65.5611049,72.84567211,3.938984075,5.908476112,6.893222131,8.862714168,9.847460187,28.88353273,43.32529909,50.54618227,64.98794863,72.20883182,2.706548983,4.059823474,4.73646072,6.089735211,6.766372457,3.535082613,4.595607397
15,28.53538575,42.80307863,49.93692507,64.20461795,71.33846439,4.291312567,6.43696885,7.509796992,9.655453275,10.72828142,28.25072711,42.37609066,49.43877244,63.56413599,70.62681777,2.652754114,3.979131171,4.642319699,5.968696756,6.631885285,3.708915177,4.82158973
16,27.81751166,41.72626749,48.68064541,62.58940124,69.54377915,4.648532515,6.972798773,8.134931902,10.45919816,11.62133129,27.54001427,41.3100214,48.19502496,61.9650321,68.85003566,2.598764748,3.898147122,4.547838309,5.847220683,6.49691187,3.872753108,5.03457904
17,27.46741816,41.20112724,48.06798178,61.80169086,68.66854541,4.828673532,7.243010299,8.450178682,10.86451545,12.07168383,27.19341317,40.79011976,47.58847305,61.18517964,67.98353293,2.57296758,3.859451369,4.502693264,5.789177054,6.432418949,3.951047706,5.136362018
18,26.78445624,40.17668436,46.87279842,60.26502654,66.9611406,5.191385639,7.787078459,9.084924869,11.68061769,12.9784641,26.51726423,39.77589634,46.4052124,59.66384452,66.29316057,2.526007757,3.789011636,4.420513575,5.683517454,6.315019393,4.100632718,5.330822533
19,26.23431003,39.35146505,45.91004256,59.02719757,65.58577508,5.556467254,8.334700881,9.723817695,12.50205132,13.89116814,25.9418271,38.91274065,45.39819742,58.36911097,64.85456774,2.487833566,3.731750348,4.35370874,5.597625522,6.219583914,4.241201289,5.513561676
20,25.59268777,38.38903166,44.7872036,57.58354748,63.98171943,5.922847238,8.884270858,10.36498267,13.32640629,14.8071181,25.3073582,37.9610373,44.28787685,56.94155595,63.2683955,2.461142894,3.691714341,4.307000064,5.537571511,6.152857234,4.373136082,5.685076907
21,24.97215268,37.45822903,43.7012672,56.18734354,62.43038171,6.289432016,9.434148024,11.00650603,14.15122204,15.72358004,24.69374138,37.04061207,43.21404742,55.56091811,61.73435345,2.448171596,3.672257394,4.284300293,5.508386091,6.12042899,4.496814837,5.845859288
22,24.37205027,36.55807541,42.65108798,54.83711312,60.93012569,6.655113875,9.982670812,11.64644928,14.97400622,16.63778469,24.10032943,36.15049415,42.17557651,54.22574123,60.25082358,2.450724897,3.676087346,4.28876857,5.514131019,6.126812244,4.612610368,5.996393479
23,23.8806657,35.82099856,41.79116498,53.73149783,59.70166426,7.018778913,10.52816837,12.2828631,15.79225255,17.54694728,23.58778313,35.38167469,41.27862047,53.07251203,58.96945782,2.470207924,3.705311886,4.322863867,5.557967829,6.17551981,4.720890571,6.137157743
24,23.31745127,34.97617691,40.80553972,52.46426536,58.29362818,7.37931462,11.06897193,12.91380059,16.6034579,18.44828655,23.03147619,34.54721429,40.30508334,51.82082143,57.57869048,2.507655357,3.761483036,4.388396875,5.642224554,6.269138393,4.822018415,6.26862394
25,22.77289787,34.1593468,39.85257127,51.23902021,56.93224467,7.735617102,11.60342565,13.53732993,17.40513848,19.33904276,22.49360142,33.74040214,39.36380249,50.61060321,56.23400356,2.563760214,3.845640321,4.486580375,5.768460482,6.409400535,4.916351949,6.391257534
26,22.24642716,33.36964074,38.93124753,50.05446111,55.6160679,8.086597947,12.12989692,14.15154641,18.19484538,20.21649487,21.97358757,32.96038136,38.45377825,49.44057204,54.93396894,2.638901749,3.958352624,4.618078061,5.937528936,6.597254373,5.004244297,6.505517586
27,21.80925576,32.71388364,38.16619758,49.07082546,54.5231394,8.431190728,12.64678609,14.75458377,18.97017914,21.07797682,21.51864489,32.27796733,37.65762855,48.41695099,53.79661221,2.733172484,4.099758725,4.783051846,6.149638088,6.832931209,5.086043661,6.61185676
28,21.31565883,31.97348824,37.30240295,47.96023236,53.28914707,8.768357151,13.15253573,15.34462501,19.72880359,21.92089288,21.03162519,31.54743778,36.80534408,47.32115667,52.57906297,2.846404357,4.269606536,4.981207625,6.404409804,7.116010893,5.162093322,6.710721318
29,20.83856341,31.25784512,36.46748597,46.88676767,52.09640853,9.097092838,13.64563926,15.91991247,20.46845889,22.7427321,20.56088712,30.84133069,35.98155247,46.26199603,51.40221781,2.978194005,4.467291007,5.211839509,6.700936511,7.445485012,5.232731634,6.802551124
30,20.37745273,30.56617909,35.66054227,45.84926864,50.94363182,9.416432757,14.12464914,16.47875732,21.1869737,23.54108189,20.10592079,30.15888119,35.18536139,45.23832179,50.26480199,3.127927159,4.691890738,5.473872528,7.037836107,7.819817897,5.298292033,6.887779642
31,19.93182356,29.89773533,34.88069122,44.846603,49.82955889,9.725456284,14.58818443,17.0195485,21.88227664,24.31364071,19.66622968,29.49934452,34.41590195,44.24901679,49.16557421,3.294802172,4.942203258,5.765903801,7.413304887,8.237005431,5.359103028,6.966833936
32,19.50118534,29.25177801,34.12707435,43.87766702,48.75296335,10.02329192,15.03493787,17.54076085,22.55240681,25.05822979,19.24132977,28.86199466,33.6723271,43.29299199,48.10332443,3.477852672,5.216779007,6.086242175,7.825168511,8.694631679,5.415488207,7.04013467
33,19.29133779,28.93700669,33.75984114,43.40551003,48.22834448,10.16775643,15.25163465,17.79357376,22.87745198,25.41939109,19.03427847,28.5514177,33.30998732,42.82712655,47.58569617,3.57510207,5.362653106,6.256428623,8.043979658,8.937755176,5.442120892,7.074757159
34,18.88229177,28.32343766,33.0440106,42.48515648,47.20572943,10.44729421,15.67094131,18.28276486,23.50641197,26.11823552,18.63068303,27.94602455,32.60369531,41.91903682,46.57670758,3.780296875,5.670445313,6.615519532,8.50566797,9.450742189,5.492463307,7.140202299
35,18.54100546,27.8115082,32.44675956,41.7172623,46.35251366,10.71370786,16.07056179,18.74898876,24.10584269,26.78426966,18.27523499,27.41285249,31.98166124,41.11927873,45.68808748,3.998671288,5.998006931,6.997674753,8.997010397,9.996678219,5.53916734,7.200917542
36,18.1580205,27.23703075,31.77653588,40.85554613,45.39505125,10.96632968,16.44949452,19.19107695,24.67424179,27.41582421,17.89773981,26.84660972,31.32104467,40.26991458,44.74434953,4.228848113,6.34327217,7.400484198,9.514908255,10.57212028,5.582539348,7.257301153
37,17.78799004,26.68198506,31.12898257,40.02297759,44.4699751,11.20455781,16.80683671,19.60797616,25.21025506,28.01139451,17.53301344,26.29952016,30.68277352,39.44928024,43.8325336,4.469376521,6.704064782,7.821408912,10.05609717,11.1734413,5.622880767,7.309744997
38,17.43047642,26.14571463,30.50333374,39.21857195,43.57619105,11.42785895,17.14178842,19.99875316,25.71268263,28.56964737,17.18062449,25.77093674,30.06609287,38.65640511,42.95156124,4.718749877,7.078124815,8.257812284,10.61718722,11.79687469,5.660488108,7.358634541
39,17.08504912,25.62757369,29.89883597,38.44136053,42.71262281,11.63577077,17.45365616,20.36259885,26.18048424,29.08942693,16.84014862,25.26022293,29.47026009,37.8903344,42.10037155,4.9754227,7.463134049,8.706989724,11.19470107,12.43855675,5.695652962,7.404348851
40,16.75128392,25.12692588,29.31474686,37.69038882,41.8782098,11.82790391,17.74185586,20.69883184,26.6127838,29.56975977,16.51116767,24.76675151,28.89454343,37.15012727,41.27791919,5.237826748,7.856740122,9.16619681,11.78511018,13.09456687,5.728661996,7.447260594
41,16.42876208,24.64314311,28.75033363,36.96471467,41.07190519,12.0039436,18.00591539,21.00690129,27.00887309,30.00985899,16.19326892,24.28990338,28.33822061,36.43485507,40.4831723,5.504386227,8.256579341,9.632675898,12.38486901,13.76096557,5.759796952,7.487736038
42,16.11706952,24.17560428,28.20487166,36.26340642,40.29267381,12.16365097,18.24547646,21.2863892,27.36821469,30.40912743,15.88604423,23.82906635,27.80057741,35.74359952,39.71511058,5.773532119,8.660298178,10.10368121,12.99044727,14.4338303,5.789334653,7.526135049
43,15.81579606,23.72369409,27.67764311,35.58554114,39.53949015,12.30686401,18.46029602,21.53701202,27.69044402,30.76716003,15.58908929,23.38363393,27.28090625,35.07545089,38.97272321,6.04371564,9.065573459,10.57650237,13.59836019,15.1092891,5.817546996,7.562811094
44,15.52453456,23.28680183,27.16793547,34.93020275,38.81133639,12.43349809,18.65024714,21.75862166,27.97537071,31.08374523,15.30200278,22.95300417,26.77850487,34.42950626,38.25500695,6.313420821,9.470131232,11.04848644,14.20519685,15.78355205,5.844700957,7.598111243
45,15.24288013,22.8643202,26.67504024,34.2964803,38.10720034,12.54354622,18.81531933,21.95120588,28.22297899,31.35886554,15.02438565,22.53657847,26.29267489,33.80486771,37.56096412,6.581176216,9.871764324,11.51705838,14.80764649,16.45294054,5.871058588,7.632376164
46,14.97042939,22.45564409,26.19825144,33.68346614,37.42607348,12.63707885,18.95561828,22.11488799,28.43342742,31.59269713,14.75584027,22.13376041,25.82272048,33.20064061,36.88960068,6.845565726,10.26834859,11.97974002,15.40252288,17.11391432,5.896877019,7.665940125
47,14.70677961,22.06016941,25.73686431,33.09025412,36.76694902,12.71424344,19.07136516,22.24992602,28.60704774,31.78560859,14.49596969,21.74395454,25.36794697,32.61593181,36.23992424,7.105238559,10.65785784,12.43416748,15.98678676,17.7630964,5.922408457,7.699130995
48,14.45152794,21.67729191,25.2901739,32.51593787,36.12881985,12.7752635,19.16289526,22.35671113,28.74434288,31.93815876,14.24437686,21.36656529,24.9276595,32.04984793,35.61094214,7.358918303,11.03837746,12.87810703,16.55756618,18.39729576,5.947900187,7.732270243
