BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,タイマOFF,,,,,,,,,,タイマON,,,,,,,,,,,
#,変,変,変,変,変,直1,直1,直1,直1,直1,変,変,変,変,変,直1,直1,直1,直1,直1,B1,B2
#,0.711589167,1.067383751,1.245281043,1.601075627,1.778972919,0.228370231,0.342555347,0.399647905,0.51383302,0.570925578,0.922204778,1.383307167,1.613858361,2.07496075,2.305511944,0.178114949,0.267172423,0.31170116,0.400758635,0.445287372,-0.138021597,-0.179428076
#,0.250541888,0.375812831,0.438448303,0.563719247,0.626354719,0.17514509,0.262717635,0.306503908,0.394076453,0.437862725,0.320042809,0.480064213,0.560074915,0.720096319,0.800107021,0.224200566,0.336300848,0.39235099,0.504451273,0.560501414,-0.235344808,-0.30594825
#,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,16,17
0,7511.21899,11266.82848,13144.63323,16900.24273,18778.04747,0,0,0,0,0,9734.383765,14601.57565,17035.17159,21902.36347,24335.95941,0,0,0,0,0,-0.028866516,-0.037526471
1,7420.128676,11130.19301,12985.22518,16695.28952,18550.32169,19.33864357,29.00796535,33.84262625,43.51194803,48.34660892,9616.332611,14424.49892,16828.58207,21636.74837,24040.83153,86.40137225,129.6020584,151.2024014,194.4030876,216.0034306,-43.09345277,-56.02148861
2,7290.849374,10936.27406,12758.98641,16404.41109,18227.12344,64.26189541,96.39284311,112.458317,144.5892647,160.6547385,9433.478992,14150.21849,16508.58824,21225.32773,23583.69748,238.8988868,358.3483302,418.0730519,537.5224953,597.247217,-126.3090143,-164.2017186
3,7092.656202,10638.9843,12412.14835,15958.47645,17731.6405,110.8130068,166.2195102,193.9227619,249.3292653,277.032517,9177.040951,13765.56143,16059.82166,20648.34214,22942.60238,362.5432262,543.8148392,634.4506458,815.7222589,906.3580654,-205.7337128,-267.4538267
4,6959.65044,10439.47566,12179.38827,15659.21349,17399.1261,159.1058859,238.6588288,278.4353003,357.9882432,397.7647147,8990.923815,13486.38572,15734.11668,20229.57858,22477.30954,460.8700603,691.3050904,806.5226055,1036.957636,1152.175151,-281.4792422,-365.9230148
5,6771.785515,10157.67827,11850.62465,15236.51741,16929.46379,209.2174268,313.8261402,366.1304969,470.7392104,523.0435671,8748.22783,13122.34174,15309.3987,19683.51262,21870.56957,537.1569056,805.7353584,940.0245848,1208.603038,1342.892264,-353.656098,-459.7529274
6,6640.477607,9960.716411,11620.83581,14941.07462,16601.19402,261.1901153,391.7851729,457.0827018,587.6777594,652.9752882,8565.780585,12848.67088,14990.11602,19273.00632,21414.45146,594.4340707,891.6511061,1040.259624,1337.476659,1486.085177,-422.373578,-549.0856514
7,6463.1403,9694.71045,11310.49553,14542.06568,16157.85075,315.0345668,472.5518502,551.3104919,708.8277753,787.586417,8337.02709,12505.54064,14589.79741,18758.31095,20842.56773,635.4953889,953.2430834,1112.116931,1429.864625,1588.738472,-487.739782,-634.0617166
8,6334.51226,9501.76839,11085.39646,14252.65259,15836.28065,370.7319973,556.0979959,648.7809952,834.1469938,926.8299932,8159.417657,12239.12649,14278.9809,18358.68973,20398.54414,662.9087378,994.3631067,1160.090291,1491.54466,1657.271845,-549.8616116,-714.820095
9,6167.330767,9250.99615,10792.82884,13876.49423,15418.32692,428.2366262,642.3549393,749.4140959,963.532409,1070.591566,7944.072959,11916.10944,13902.12768,17874.16416,19860.1824,679.0263455,1018.539518,1188.296105,1527.809277,1697.565864,-608.8447704,-791.4982015
10,6042.045536,9063.068303,10573.57969,13594.60246,15105.11384,487.4780124,731.2170186,853.0865217,1096.825528,1218.695031,7772.053137,11658.07971,13601.09299,17487.11956,19430.13284,685.9948843,1028.992326,1200.491047,1543.48849,1714.987211,-664.7937641,-864.2318933
11,5884.584878,8826.877318,10298.02354,13240.31598,14711.4622,548.3633219,822.5449828,959.6358133,1233.817474,1370.908305,7569.507065,11354.2606,13246.63736,17031.3909,18923.76766,685.7653505,1028.648026,1200.089363,1542.972039,1714.413376,-717.8119003,-933.1554704
12,5732.240151,8598.360226,10031.42026,12897.54034,14330.60038,610.7795286,916.1692929,1068.864175,1374.253939,1526.948821,7373.541756,11060.31263,12903.69807,16590.46895,18433.85439,680.1027321,1020.154098,1190.179781,1530.231147,1700.25683,-768.0012886,-998.4016752
13,5614.958307,8422.437461,9826.177038,12633.65619,14037.39577,674.5955473,1011.893321,1180.542208,1517.839982,1686.488868,7213.252583,10819.87887,12623.19202,16229.81831,18033.13146,670.5954626,1005.893194,1173.54206,1508.839791,1676.488656,-815.4628406,-1060.101693
14,5471.597957,8207.396935,9575.296424,12311.0954,13678.99489,739.6642995,1109.496449,1294.412524,1664.244674,1849.160749,7029.084801,10543.6272,12300.8984,15815.4408,17572.712,658.6646619,987.9969928,1152.663158,1481.995489,1646.661655,-860.2962699,-1118.385151
15,5358.388284,8037.582426,9377.179497,12056.37364,13395.97071,805.824711,1208.737067,1410.193244,1813.1056,2014.561778,6875.085482,10312.62822,12031.39959,15468.94234,17187.71371,645.5731645,968.3597467,1129.753038,1452.53962,1613.932911,-902.600092,-1173.38012
16,5223.585546,7835.378319,9141.274705,11753.06748,13058.96386,872.9036426,1309.355464,1527.581375,1964.033196,2182.259107,6702.126694,10053.19004,11728.72171,15079.78506,16755.31673,632.4343342,948.6515014,1106.760085,1422.977252,1581.085836,-942.4716244,-1225.213112
17,5157.844822,7736.767234,9026.228439,11605.15085,12894.61206,906.7306083,1360.095912,1586.778565,2040.143869,2266.826521,6617.777992,9926.666988,11581.11149,14890.00048,16544.44498,626.1563458,939.2345188,1095.773605,1408.851778,1565.390865,-961.5253662,-1249.982976
