BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMF15HS_DW10_TIMER_OFF.xlsx,,,,,,D: ,820,,B: ,JNR_DMF15HS_DW10_TIMER_ON.xlsx,,,,,,,
#,R: ,2.995,,W: ,Current,,,,,,R: ,2.995,,W: ,Current,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,0.25,0.45,0.7,0.9,1,3.00E-01,0.45,0.7,0.9,1,0.25,0.45,0.7,0.9,1,3.00E-01,0.45,0.7,0.9,1,0.00E+00,0
#,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,16,17
0,25,45,70,90,100,2.99763E-05,0,0,0,0,25,45,70,90,100,2.45138E-05,0,0,0,0,8.17126E-05,0.000163425
1,24.69681914,44.45427445,69.15109359,88.9085489,98.78727656,0.044750251,0.115858553,0.180224415,0.231717105,0.25746345,24.69681914,44.45427445,69.15109359,88.9085489,98.78727656,0.036595448,0,0,0,0,0.121984827,0.243969654
2,24.26653178,43.67975721,67.946289,87.35951443,97.06612714,0.131165169,0.384995471,0.598881844,0.769990942,0.855545491,24.12867986,43.43162375,67.56030362,86.86324751,96.51471945,0.107263045,0.299892688,0.466499736,0.599785375,0.666428195,0.357543484,0.715086968
3,23.60687463,42.49237434,66.09924898,84.98474868,94.42749854,0.213643479,0.663884958,1.032709935,1.327769916,1.475299907,23.47277006,42.2509861,65.72375616,84.5019722,93.89108022,0.174711399,0.767347305,1.193651363,1.53469461,1.705216234,0.582371328,1.164742657
4,23.1641843,41.69553174,64.85971604,83.39106348,92.65673719,0.292301169,0.953209442,1.482770244,1.906418885,2.118243205,22.9195256,41.25514608,64.17467168,82.51029216,91.6781024,0.23903536,1.156670872,1.799265802,2.313341745,2.570379716,0.796784532,1.593569065
5,22.53890322,40.5700258,63.10892902,81.14005159,90.15561288,0.367252981,1.253429599,1.949779376,2.506859198,2.785399109,22.3008487,40.14152767,62.44237637,80.28305533,89.20339481,0.300328763,1.477448607,2.298253389,2.954897215,3.283219128,1.001095876,2.002191753
6,22.10186395,39.7833551,61.88521905,79.56671021,88.40745578,0.438612416,1.564799962,2.434133274,3.129599924,3.477333248,21.77645859,39.19762547,60.97408406,78.39525093,87.10583437,0.358684425,1.738581279,2.704459767,3.477162558,3.863513953,1.19561475,2.391229501
7,21.51162251,38.72092052,60.23254303,77.44184104,86.04649004,0.50649173,1.887384128,2.935930866,3.774768257,4.194186952,21.19490727,38.15083309,59.34574036,76.30166617,84.77962908,0.414194146,1.948313158,3.030709358,3.896626317,4.329584797,1.380647152,2.761294304
8,21.08350279,37.95030502,59.0338078,75.90061003,84.33401115,0.571001934,2.221069563,3.454997097,4.442139125,4.935710139,20.69905181,37.25829325,57.95734506,74.51658651,82.79620723,0.466948707,2.114259454,3.28884804,4.228518908,4.698354342,1.556495689,3.112991378
9,20.5270635,36.9487143,57.4757778,73.8974286,82.108254,0.632252796,2.565581992,3.990905321,5.131163984,5.701293316,20.15275901,36.27496623,56.42772524,72.54993245,80.61103606,0.517037873,2.24343322,3.489785008,4.486866439,4.985407155,1.723459577,3.446919154
