BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17C_TC-2A.xlsx,,,,,,,
#,R: ,2.976,,W: ,Current,,E: ,2,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,0.25,0.45,0.7,0.9,1,3.00E-01,4.50E-01,0.7,0.9,1,0.00E+00,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,25,45,70,90,100,2.08918E-05,0.000101889,0.000158494,0.000203778,0.00022642,6.96394E-05,0.000139279
1,24.70115928,44.46208671,69.16324599,88.92417342,98.80463714,0.0311884,0.554727586,0.862909579,1.109455173,1.23272797,0.103961332,0.207922663
2,23.84467418,42.92041352,66.7650877,85.84082704,95.37869671,0.091414722,1.576250249,2.451944831,3.152500497,3.50277833,0.30471574,0.609431479
3,23.18532537,41.73358566,64.91891102,83.46717132,92.74130146,0.14889745,2.488973422,3.871736435,4.977946845,5.53105205,0.496324833,0.992649667
4,22.53706813,40.56672263,63.10379075,81.13344525,90.1482725,0.203717421,3.302178879,5.136722701,6.604357758,7.338175287,0.67905807,1.35811614
5,21.8971515,39.41487271,61.31202421,78.82974542,87.58860602,0.255954605,4.024569868,6.260442017,8.049139736,8.943488595,0.853182016,1.706364032
6,21.27277133,38.2909884,59.56375973,76.5819768,85.09108533,0.305688105,4.664294332,7.255568961,9.328588664,10.36509852,1.018960348,2.037920697
7,20.64263624,37.15674522,57.79938146,74.31349045,82.57054494,0.352996156,5.228967671,8.13394971,10.45793534,11.61992816,1.176653854,2.353307707
8,20.0185242,36.03334356,56.05186776,72.06668712,80.0740968,0.397956128,5.725695056,8.906636753,11.45139011,12.72376679,1.326520428,2.653040855
9,19.41039224,34.93870603,54.34909828,69.87741207,77.64156897,0.440644523,6.161093289,9.583922894,12.32218658,13.69131842,1.468815077,2.937630153
10,18.80126297,33.84227334,52.64353631,67.68454668,75.20505187,0.481136975,6.54131222,10.17537456,13.08262444,14.53624938,1.603789917,3.207579833
11,18.20162188,32.76291939,50.96454127,65.52583878,72.80648753,0.519508252,6.8720557,10.68986442,13.7441114,15.27123489,1.731694173,3.463388347
12,17.62074577,31.71734239,49.33808817,63.43468479,70.4829831,0.555832255,7.158602095,11.13560326,14.31720419,15.90800466,1.852774182,3.705548365
13,17.0432452,30.67784136,47.72108656,61.35568271,68.17298079,0.590182017,7.405824345,11.5201712,14.81164869,16.45738743,1.967273389,3.934546778
14,16.76317697,30.17371855,46.93689552,60.3474371,67.05270789,0.606639143,7.516105685,11.69171995,15.03221137,16.70245708,2.022130478,4.044260956
15,16.20499987,29.16899977,45.37399964,58.33799954,64.81999949,0.638162586,7.712639747,11.99743961,15.42527949,17.13919944,2.127208619,4.254417238
16,15.6687198,28.20369563,43.87241543,56.40739127,62.67487919,0.667890578,7.880385829,12.25837796,15.76077166,17.51196851,2.226301926,4.452603853
17,15.13934421,27.25081957,42.39016378,54.50163914,60.55737683,0.695893119,8.022949325,12.48014339,16.04589865,17.82877628,2.31964373,4.639287461
18,14.62528057,26.32550502,40.95078559,52.65101004,58.50112227,0.722239341,8.14361488,12.66784537,16.28722976,18.09692196,2.40746447,4.814928941
19,14.13551692,25.44393045,39.57944736,50.88786089,56.54206766,0.746997509,8.245363974,12.82612174,16.49072795,18.32303105,2.489991696,4.979983392
20,13.65404743,24.57728537,38.2313328,49.15457074,54.61618971,0.77023502,8.330892047,12.95916541,16.66178409,18.51309344,2.567450066,5.134900132
21,13.19801921,23.75643458,36.95445379,47.51286916,52.79207685,0.792018405,8.402625175,13.07075027,16.80525035,18.67250039,2.64006135,5.2801227
22,12.75075499,22.95135898,35.70211396,45.90271795,51.00301995,0.812413328,8.462736295,13.16425646,16.92547259,18.80608066,2.708044427,5.416088854
23,12.32981576,22.19366837,34.52348414,44.38733675,49.31926305,0.831484586,8.51316098,13.24269486,17.02632196,18.91813551,2.771615285,5.54323057
24,11.91762554,21.45172598,33.36935152,42.90345195,47.67050217,0.849296107,8.555612763,13.30873096,17.11122553,19.01247281,2.830987023,5.661974047
25,11.53239686,20.75831436,32.29071122,41.51662871,46.12958746,0.865910955,8.591598007,13.36470801,17.18319601,19.09244002,2.88636985,5.7727397
26,11.16488866,20.09679959,31.26168824,40.19359917,44.65955463,0.881391325,8.622430328,13.4126694,17.24486066,19.16095628,2.937971083,5.875942166
27,10.80585771,19.45054388,30.25640159,38.90108775,43.22343084,0.895798545,8.649244566,13.45438044,17.29848913,19.22054348,2.985995151,5.971990302
28,10.63761811,19.14771259,29.7853307,38.29542518,42.55047242,0.902618652,8.661453993,13.47337288,17.32290799,19.24767554,3.008728841,6.017457682
29,10.30418765,18.54753776,28.85172541,37.09507552,41.21675058,0.915529242,8.684011015,13.50846158,17.36802203,19.29780226,3.051764141,6.103528282
30,9.998008848,17.99641593,27.99442478,35.99283185,39.99203539,0.92751621,8.704692516,13.5406328,17.40938503,19.34376115,3.091720701,6.183441403
31,9.708503582,17.47530645,27.18381003,34.95061289,38.83401433,0.93863785,8.724111121,13.57083952,17.44822224,19.3869136,3.128792834,6.257585669
32,9.424913185,16.96484373,26.38975692,33.92968747,37.69965274,0.948951589,8.742757967,13.59984573,17.48551593,19.42835104,3.163171962,6.326343924
33,9.167721996,16.50189959,25.66962159,33.00379918,36.67088798,0.958513985,8.761014189,13.62824429,17.52202838,19.46892042,3.195046617,6.390093233
34,8.925752341,16.06635421,24.99210655,32.13270843,35.70300936,0.967380732,8.779161961,13.65647416,17.55832392,19.5092488,3.22460244,6.44920488
35,8.687526768,15.63754818,24.32507495,31.27509636,34.75010707,0.975606655,8.797395082,13.68483679,17.59479016,19.54976685,3.252022184,6.504044368
36,8.474442788,15.25399702,23.72843981,30.50799404,33.89777115,0.983245713,8.815829118,13.71351196,17.63165824,19.59073137,3.27748571,6.554971421
37,8.262814797,14.87306663,23.13588143,29.74613327,33.05125919,0.990350997,8.834511082,13.74257279,17.66902216,19.63224685,3.30116999,6.60233998
38,8.075838383,14.53650909,22.61234747,29.07301818,32.30335353,0.996974731,8.853428674,13.77200016,17.70685735,19.67428594,3.323249104,6.646498209
39,7.900634449,14.22114201,22.12177646,28.44228402,31.6025378,1.003168273,8.872519064,13.80169632,17.74503813,19.71670903,3.343894244,6.687788489
40,7.736404431,13.92552798,21.66193241,27.85105595,30.94561772,1.008982113,8.891677223,13.8314979,17.78335445,19.75928272,3.363273711,6.726547422
41,7.645651979,13.76217356,21.40782554,27.52434712,30.58260792,1.011762186,8.901239306,13.84637225,17.80247861,19.78053179,3.372540621,6.745081241
42,7.4965668,13.49382024,20.99038704,26.98764048,29.9862672,1.017099246,8.920229174,13.87591205,17.84045835,19.8227315,3.390330819,6.780661638
43,7.35632707,13.24138873,20.5977158,26.48277745,29.42530828,1.022179035,8.938890249,13.90494039,17.8777805,19.86420055,3.407263451,6.814526903
44,7.224053062,13.00329551,20.22734857,26.00659102,28.89621225,1.027049011,8.957028927,13.93315611,17.91405785,19.90450873,3.423496703,6.846993406
45,7.085649335,12.7541688,19.83981814,25.50833761,28.34259734,1.031755761,8.974441327,13.96024206,17.94888265,19.94320295,3.439185869,6.878371739
46,6.966838734,12.54030972,19.50714846,25.08061944,27.86735494,1.036345007,8.990919145,13.98587423,17.98183829,19.97982032,3.454483355,6.90896671
47,6.853280699,12.33590526,19.18918596,24.67181052,27.4131228,1.040861602,9.006255051,14.00973008,18.0125101,20.01390011,3.469538675,6.93907735
48,6.744069298,12.13932474,18.88339403,24.27864947,26.97627719,1.045349536,9.020247647,14.03149634,18.04049529,20.04499477,3.484498453,6.968996906
49,6.624257278,11.9236631,18.54792038,23.8473262,26.49702911,1.049851927,9.032705961,14.05087594,18.06541192,20.07267991,3.499506424,6.999012849
50,6.521261158,11.73827009,18.25953124,23.47654017,26.08504463,1.05441103,9.043453499,14.06759433,18.086907,20.09656333,3.514703433,7.029406866
51,6.419933729,11.55588071,17.97581444,23.11176142,25.67973491,1.05906823,9.052331845,14.08140509,18.10466369,20.11629299,3.530227433,7.060454865
52,6.319414816,11.37494667,17.69436148,22.74989334,25.27765926,1.063864046,9.059203804,14.09209481,18.11840761,20.13156401,3.546213487,7.092426974
53,6.218866436,11.19395958,17.41282602,22.38791917,24.87546574,1.068838131,9.0639561,14.09948727,18.1279122,20.14212467,3.56279377,7.125587541
54,6.102783355,10.98501004,17.08779339,21.97002008,24.41113342,1.07402927,9.066501625,14.10344697,18.13300325,20.14778139,3.580097566,7.160195132
55,6.051651458,10.89297262,16.94462408,21.78594525,24.20660583,1.076718117,9.066927231,14.10410903,18.13385446,20.14872718,3.589060392,7.178120783
56,5.947799334,10.7060388,16.65383813,21.4120776,23.79119734,1.082305662,9.066060807,14.10276125,18.13212161,20.14680179,3.60768554,7.215371079
57,5.841230717,10.51421529,16.35544601,21.02843058,23.36492287,1.088203429,9.062894971,14.09783662,18.12578994,20.1397666,3.627344764,7.254689528
58,5.731264427,10.31627597,16.0475404,20.63255194,22.92505771,1.09444717,9.057445362,14.08935945,18.11489072,20.12765636,3.648157232,7.296314465
59,5.617265846,10.11107852,15.72834437,20.22215705,22.46906338,1.101071767,9.049758304,14.07740181,18.09951661,20.11057401,3.670239223,7.340478446
60,5.498651302,9.897572344,15.39622365,19.79514469,21.99460521,1.108111237,9.039910575,14.06208312,18.07982115,20.08869017,3.693704123,7.387408246
