BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17C_TC-2A.xlsx,,,,,,,
#,R: ,2.976,,W: ,Force,,E: ,2,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,1.268171017,2.282707831,3.550878848,4.565415662,5.072684069,-0.05348694,0.458745825,0.713604617,0.91749165,1.019435167,-0.178289801,-0.356579602
#,0.330802976,0.595445357,0.926248333,1.190890713,1.323211904,-0.090289422,0.425580494,0.662014102,0.851160989,0.945734432,-0.300964741,-0.601929481
#,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,13386.24963,24095.24933,37481.49896,48190.49866,53544.99851,-0.011186522,0.054556396,0.084865505,0.109112792,0.121236435,-0.037288407,-0.074576813
1,13226.23537,23807.22367,37033.45904,47614.44733,52904.94148,-16.69982806,297.0288778,462.0449211,594.0577557,660.064173,-55.66609352,-111.332187
2,12767.63043,22981.73478,35749.36521,45963.46956,51070.52173,-48.94801147,844.0031722,1312.893823,1688.006344,1875.562605,-163.1600382,-326.3200765
3,12414.58212,22346.24782,34760.82994,44692.49564,49658.32849,-79.72713739,1332.720782,2073.121216,2665.441564,2961.601738,-265.7571246,-531.5142492
4,12067.47279,21721.45102,33788.92382,43442.90205,48269.89117,-109.08049,1768.151632,2750.458093,3536.303263,3929.225848,-363.6016334,-727.2032668
5,11724.82945,21104.693,32829.52245,42209.38601,46899.31779,-137.0508893,2154.955876,3352.153585,4309.911752,4788.790835,-456.8362978,-913.6725956
6,11390.50509,20502.90917,31893.41426,41005.81834,45562.02037,-163.680691,2497.496331,3884.994292,4994.992661,5549.991846,-545.6023034,-1091.204607
7,11053.09926,19895.57868,30948.67794,39791.15735,44212.39706,-189.0117865,2799.850661,4355.323251,5599.701323,6221.890359,-630.0392883,-1260.078577
8,10718.91848,19294.05327,30012.97175,38588.10654,42875.67394,-213.0856029,3065.823332,4769.058517,6131.646664,6812.940738,-710.2853432,-1420.570686
9,10393.29424,18707.92963,29101.22386,37415.85925,41573.17695,-235.9431033,3298.95731,5131.711371,6597.91462,7331.016244,-786.4770109,-1572.954022
10,10067.13598,18120.84476,28187.98073,36241.68951,40268.5439,-257.6247861,3502.545531,5448.404159,7005.091061,7783.434512,-858.7492869,-1717.498574
11,9746.058166,17542.9047,27288.96286,35085.8094,38984.23266,-278.1706858,3679.642122,5723.887745,7359.284244,8176.982493,-927.2356193,-1854.471239
12,9435.028062,16983.05051,26418.07857,33966.10102,37740.11225,-297.6203725,3833.073385,5962.558599,7666.14677,8517.940856,-992.0679083,-1984.135817
13,9125.805387,16426.4497,25552.25508,32852.89939,36503.22155,-316.012952,3965.448535,6168.475499,7930.897071,8812.107856,-1053.376507,-2106.753014
14,8975.84286,16156.51715,25132.36001,32313.0343,35903.37144,-324.8249203,4024.498677,6260.331275,8048.997354,8943.330393,-1082.749734,-2165.499468
15,8676.96694,15618.54049,24295.50743,31237.08099,34707.86776,-341.704147,4129.732837,6424.028858,8259.465675,9177.184083,-1139.013823,-2278.027646
16,8389.815782,15101.66841,23491.48419,30203.33681,33559.26313,-357.622,4219.552475,6563.748294,8439.10495,9376.783277,-1192.073333,-2384.146667
17,8106.36163,14591.45093,22697.81256,29182.90187,32425.44652,-372.6159603,4295.888096,6682.492594,8591.776193,9546.417992,-1242.053201,-2484.106402
18,7831.106261,14095.99127,21927.09753,28191.98254,31324.42504,-386.7230444,4360.498466,6782.997614,8720.996932,9689.996591,-1289.076815,-2578.15363
19,7568.862321,13623.95218,21192.8145,27247.90436,30275.44929,-399.9798049,4414.980017,6867.746693,8829.960034,9811.066704,-1333.266016,-2666.532033
20,7311.059492,13159.90709,20470.96658,26319.81417,29244.23797,-412.4223299,4460.776022,6938.984924,8921.552045,9912.835605,-1374.7411,-2749.482199
21,7066.87919,12720.38254,19787.26173,25440.76508,28267.51676,-424.0862432,4499.185525,6998.733038,8998.371049,9998.190055,-1413.620811,-2827.241621
22,6827.391568,12289.30482,19116.69639,24578.60964,27309.56627,-435.0067044,4531.372023,7048.800925,9062.744046,10069.71561,-1450.022348,-2900.044696
23,6601.999666,11883.5994,18485.59907,23767.1988,26407.99867,-445.2184089,4558.37192,7090.800764,9116.74384,10129.71538,-1484.061363,-2968.122726
24,6381.292419,11486.32635,17867.61877,22972.65271,25525.16968,-454.7555878,4581.102726,7126.159797,9162.205453,10180.22828,-1515.851959,-3031.703919
25,6175.021729,11115.03911,17290.06084,22230.07823,24700.08692,-463.6520079,4600.371025,7156.132705,9200.742049,10223.04672,-1545.506693,-3091.013386
26,5978.239466,10760.83104,16739.0705,21521.66208,23912.95786,-471.9409718,4616.880191,7181.81363,9233.760381,10259.73376,-1573.136573,-3146.273145
27,5785.996349,10414.79343,16200.78978,20829.58686,23143.9854,-479.6553177,4631.237874,7204.147804,9262.475748,10291.63972,-1598.851059,-3197.702118
28,5695.912456,10252.64242,15948.55488,20505.28484,22783.64983,-483.3071439,4637.775412,7214.317307,9275.550823,10306.16758,-1611.023813,-3222.047626
29,5517.377121,9931.278818,15448.65594,19862.55764,22069.50849,-490.2201192,4649.853569,7233.105551,9299.707138,10333.00793,-1634.067064,-3268.134128
30,5353.433689,9636.18064,14989.61433,19272.36128,21413.73476,-496.638541,4660.927478,7250.331632,9321.854956,10357.61662,-1655.461803,-3310.923607
31,5198.418098,9357.152577,14555.57067,18714.30515,20793.67239,-502.5936229,4671.32517,7266.50582,9342.65034,10380.7226,-1675.312076,-3350.624153
