BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17H_TC-2A.xlsx,,,,,,,
#,R: ,2.976,,W: ,Current,,E: ,2,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,0.25,0.45,0.7,0.9,1,3.00E-01,0.45,0.7,0.9,1,0.00E+00,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,25,45,70,90,100,2.36755E-05,0,0,0,0,7.89183E-05,0.000157837
1,24.10792438,43.39426389,67.50218827,86.78852778,96.43169753,0.035344013,0.523012445,0.813574915,1.046024891,1.162249879,0.117813375,0.23562675
2,23.43486726,42.18276106,65.61762832,84.36552213,93.73946903,0.103595027,1.48840113,2.315290646,2.976802259,3.307558066,0.345316755,0.690633511
3,22.7533201,40.95597617,63.70929627,81.91195235,91.01328039,0.168736884,2.353295445,3.660681803,4.70659089,5.229545433,0.562456279,1.124912558
4,22.09359588,39.76847258,61.86206846,79.53694517,88.37438352,0.230861192,3.126221893,4.863011833,6.252443786,6.947159762,0.769537306,1.539074612
5,21.45825288,38.62485518,60.08310805,77.24971035,85.8330115,0.290058576,3.815181631,5.934726982,7.630363263,8.478181403,0.966861921,1.933723843
6,20.84892602,37.52806683,58.37699285,75.05613367,83.39570408,0.34641868,4.427671293,6.887488677,8.855342585,9.839269539,1.154728934,2.309457869
7,20.26090808,36.46963454,56.73054262,72.93926909,81.04363232,0.400030164,4.970703402,7.732205293,9.941406805,11.04600756,1.33343388,2.666867759
8,19.69608373,35.45295072,55.14903445,70.90590144,78.78433493,0.450980705,5.450826395,8.479063282,10.90165279,12.11294755,1.503269015,3.006538031
9,19.15361614,34.47650905,53.63012519,68.9530181,76.61446456,0.499356998,5.87414423,9.137557691,11.74828846,13.05365384,1.664523326,3.329046652
10,18.63263216,33.53873789,52.17137006,67.07747579,74.53052865,0.545244756,6.246335602,9.716522047,12.4926712,13.88074578,1.81748252,3.634965039
11,18.13224206,32.63803571,50.77027777,65.27607142,72.52896825,0.588728709,6.572672753,10.22415762,13.14534551,14.60593945,1.962429029,3.924858059
12,17.65154976,31.77278956,49.42433932,63.54557913,70.60619903,0.629892604,6.858039886,10.66806204,13.71607977,15.24008864,2.099642013,4.199284026
13,17.18965895,30.94138611,48.13104507,61.88277223,68.75863581,0.668819206,7.106951165,11.05525737,14.21390233,15.79322481,2.229397353,4.458794707
14,16.96735009,30.54123015,47.50858024,61.08246031,67.86940034,0.687469118,7.219049697,11.22963286,14.43809939,16.04233266,2.291563725,4.58312745
15,16.53219723,29.75795502,46.29015225,59.51591003,66.12878892,0.723192815,7.420975038,11.54373895,14.84195008,16.49105564,2.410642716,4.821285432
16,16.1136055,29.0044899,45.1180954,58.0089798,64.454422,0.756881832,7.596225595,11.81635093,15.19245119,16.88050132,2.52293944,5.04587888
17,15.7107066,28.27927187,43.98997847,56.55854374,62.84282638,0.788615495,7.748156427,12.05268778,15.49631285,17.21812539,2.628718318,5.257436636
18,15.32264447,27.58076004,42.90340451,55.16152009,61.29057788,0.818472148,7.879828626,12.2575112,15.75965725,17.51073028,2.728240492,5.456480985
19,14.94857705,26.9074387,41.85601575,53.81487739,59.79430821,0.84652915,7.994025112,12.43515017,15.98805022,17.76450025,2.821763832,5.643527665
20,14.58767782,26.25782007,40.84549789,52.51564015,58.35071128,0.872862879,8.093266033,12.58952494,16.18653207,17.98503563,2.909542931,5.819085863
21,14.23913722,25.630447,39.86958422,51.260894,56.95654889,0.897548732,8.179823762,12.7241703,16.35964752,18.17738614,2.991829107,5.983658215
22,13.90216404,25.02389527,38.92605931,50.04779055,55.60865616,0.920661121,8.255737486,12.84225831,16.51147497,18.3460833,3.068870403,6.137740807
23,13.57598662,24.43677592,38.01276254,48.87355184,54.30394649,0.942273476,8.322827402,12.9466204,16.6456548,18.495172,3.140911587,6.281823173
24,13.25985404,23.86773727,37.12759132,47.73547455,53.03941617,0.962458245,8.382708506,13.03976879,16.76541701,18.62824113,3.20819415,6.4163883
25,12.95303719,23.31546695,36.26850414,46.6309339,51.81214878,0.981286893,8.436803986,13.12391731,16.87360797,18.7484533,3.27095631,6.541912619
26,12.65482979,22.77869363,35.43352343,45.55738726,50.61931918,0.998829902,8.486358202,13.20100165,16.9727164,18.85857378,3.329433008,6.658866016
27,12.36454932,22.25618877,34.62073809,44.51237755,49.45819728,1.015156773,8.532449279,13.27269888,17.06489856,18.9609984,3.383855912,6.767711823
28,12.21872409,21.99370336,34.21242744,43.98740671,48.87489635,1.022885607,8.554490605,13.30698539,17.10898121,19.00997912,3.40961869,6.819237381
29,11.93902538,21.49024569,33.42927107,42.98049138,47.75610154,1.037516433,8.597074695,13.3732273,17.19414939,19.10461043,3.458388111,6.916776222
30,11.6656514,20.99817252,32.66382392,41.99634504,46.6626056,1.051100572,8.638242633,13.43726632,17.27648527,19.19609474,3.503668574,7.007337148
31,11.40535319,20.52963574,31.93498893,41.05927148,45.62141276,1.063704085,8.678584023,13.50001959,17.35716805,19.28574227,3.545680282,7.091360564
32,11.1430746,20.05753428,31.20060888,40.11506856,44.5722984,1.075392049,8.718573897,13.56222606,17.43714779,19.37460866,3.584640163,7.169280325
33,10.88543891,19.59379004,30.47922895,39.18758008,43.54175564,1.086228561,8.75858309,13.62446258,17.51716618,19.46351798,3.620761868,7.241523737
34,10.63193803,19.13748846,29.76942649,38.27497691,42.52775213,1.096276733,8.798888216,13.68715945,17.59777643,19.55308492,3.654255777,7.308511554
35,10.3820926,18.68776668,29.06985928,37.37553336,41.5283704,1.105598697,8.839681241,13.75061526,17.67936248,19.64373609,3.68532899,7.370657979
36,10.13545243,18.24381437,28.3792668,36.48762874,40.54180971,1.1142556,8.881078655,13.81501124,17.76215731,19.73573035,3.714185334,7.428370668
37,9.891596881,17.80487439,27.69647127,35.60974877,39.56638752,1.122307608,8.923130243,13.88042482,17.84626049,19.82917832,3.741025361,7.482050721
38,9.650135237,17.37024343,27.02037866,34.74048685,38.60054095,1.129813904,8.965827451,13.9468427,17.9316549,19.924061,3.766046346,7.532092692
39,9.419778816,16.95560187,26.37538068,33.91120374,37.67911526,1.136832687,9.009111354,14.01417322,18.01822271,20.02024745,3.789442291,7.578884583
40,9.182444881,16.52840079,25.71084567,33.05680157,36.72977953,1.143421177,9.052880222,14.08225812,18.10576044,20.1175116,3.811403922,7.622807844
41,9.059583237,16.30724983,25.36683306,32.61449965,36.23833295,1.146571673,9.074904793,14.11651857,18.14980959,20.1664551,3.821905576,7.643811151
42,8.833857711,15.90094388,24.73480159,31.80188776,35.33543085,1.152619854,9.119134256,14.18531995,18.23826851,20.26474279,3.84206618,7.68413236
43,8.599856227,15.47974121,24.07959743,30.95948242,34.39942491,1.158376487,9.163453103,14.25426038,18.32690621,20.36322912,3.861254955,7.72250991
44,8.366704171,15.06006751,23.42677168,30.12013502,33.46681668,1.163895349,9.20766356,14.3230322,18.41532712,20.46147458,3.879651162,7.759302324
45,8.134211641,14.64158095,22.77579259,29.28316191,32.53684656,1.169229237,9.251554119,14.39130641,18.50310824,20.55900915,3.897430788,7.794861577
46,7.902219267,14.22399468,22.12621395,28.44798936,31.60887707,1.174429964,9.294904895,14.45874095,18.58980979,20.65534421,3.914766546,7.829533092
47,7.682096337,13.82777341,21.50986974,27.65554681,30.72838535,1.179548361,9.33749258,14.52498846,18.67498516,20.74998351,3.93182787,7.863655741
48,7.45133485,13.41240273,20.86373758,26.82480546,29.8053394,1.184634277,9.379094995,14.58970333,18.75818999,20.84243332,3.948780924,7.897561847
49,7.220813549,12.99746439,20.21827794,25.99492878,28.8832542,1.189736577,9.419495243,14.65254816,18.83899049,20.93221165,3.965788591,7.931577182
50,7.002816959,12.60507053,19.60788748,25.21014105,28.01126783,1.194903145,9.458485456,14.7131996,18.91697091,21.01885657,3.983010483,7.966020967
51,6.773311902,12.19196142,18.96527333,24.38392285,27.09324761,1.200180881,9.495870144,14.77135356,18.99174029,21.10193365,4.000602936,8.001205872
52,6.544044953,11.77928091,18.32332587,23.55856183,26.17617981,1.205615703,9.531469144,14.82672978,19.06293829,21.18104254,4.018719009,8.037438017
53,6.328217114,11.39079081,17.71900792,22.78158161,25.31286846,1.211252546,9.565120159,14.8790758,19.13024032,21.25582258,4.037508486,8.075016973
54,6.100231762,10.98041717,17.08064893,21.96083434,24.40092705,1.217135364,9.596680903,14.92817029,19.19336181,21.32595756,4.057117879,8.114235758
55,5.993049313,10.78748876,16.78053808,21.57497753,23.97219725,1.220182479,9.611638869,14.95143824,19.22327774,21.35919749,4.067274932,8.134549863
56,5.766133283,10.37903991,16.14517319,20.75807982,23.06453313,1.226514521,9.639845385,14.99531504,19.27969077,21.42187863,4.088381736,8.176763473
57,5.553571665,9.996428997,15.55000066,19.99285799,22.21428666,1.23319812,9.665703906,15.03553941,19.33140781,21.47934201,4.1106604,8.221320801
58,5.32877278,9.591791004,14.92056378,19.18358201,21.31509112,1.240273791,9.689153265,15.07201619,19.37830653,21.5314517,4.13424597,8.268491939
59,5.104986481,9.188975666,14.29396215,18.37795133,20.41994593,1.247781064,9.710156975,15.10468863,19.42031395,21.57812661,4.159270215,8.318540429
60,4.896731606,8.81411689,13.7108485,17.62823378,19.58692642,1.255758489,9.72870317,15.13353827,19.45740634,21.61934038,4.185861631,8.371723262
61,4.676160844,8.41708952,13.09325036,16.83417904,18.70464338,1.264243632,9.744804132,15.15858421,19.48960826,21.65512029,4.214145439,8.428290878
