BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,,,,,,,,,,,,
#,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,0.895251478,1.342877217,1.566690087,2.014315826,2.238128695,0.188171624,0.282257436,0.329300342,0.423386154,0.47042906,-0.137146001,-0.178289801
#,0.250771289,0.376156934,0.438849756,0.564235401,0.626928223,0.180930368,0.271395552,0.316628144,0.407093328,0.45232592,-0.231511339,-0.300964741
#,0.4,0.6,0.7,0.9,1,0.4,0.6,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,9449.876713,14174.81507,16537.28425,21262.22261,23624.69178,0,0,0,0,0,-0.02868339,-0.037288407
1,9112.676529,13669.01479,15947.18393,20503.52219,22781.69132,109.8311806,164.7467709,192.2045661,247.1201564,274.5779516,-42.82007194,-55.66609352
2,8858.264255,13287.39638,15501.96245,19931.09457,22145.66064,312.5601595,468.8402392,546.9802791,703.2603588,781.4003987,-125.5077217,-163.1600382
3,8600.642789,12900.96418,15051.12488,19351.44628,21501.60697,494.1855961,741.2783942,864.8247932,1111.917591,1235.46399,-204.4285574,-265.7571246
4,8351.270289,12526.90543,14614.72301,18790.35815,20878.17572,656.4980326,984.7470489,1148.871557,1477.120573,1641.245082,-279.6935642,-363.6016334
5,8111.113766,12166.67065,14194.44909,18250.00597,20277.78442,801.1776901,1201.766535,1402.060958,1802.649803,2002.944225,-351.4125368,-456.8362978
6,7880.791219,11821.18683,13791.38463,17731.78024,19701.97805,929.7988409,1394.698261,1627.147972,2092.047392,2324.497102,-419.6940795,-545.6023034
7,7658.523338,11487.78501,13402.41584,17231.67751,19146.30835,1043.834096,1565.751144,1826.709668,2348.626717,2609.585241,-484.6456064,-630.0392883
8,7445.022521,11167.53378,13028.78941,16751.30067,18612.5563,1144.658609,1716.987914,2003.152566,2575.481871,2861.646523,-546.3733409,-710.2853432
9,7239.972445,10859.95867,12669.95178,16289.938,18099.93111,1233.554195,1850.331292,2158.719841,2775.496939,3083.885487,-604.9823161,-786.4770109
10,7043.043072,10564.56461,12325.32538,15846.84691,17607.60768,1311.713363,1967.570045,2295.498386,2951.355067,3279.283408,-660.5763746,-858.7492869
11,6853.898081,10280.84712,11994.32164,15421.27068,17134.7452,1380.243271,2070.364907,2415.425724,3105.54736,3450.608178,-713.2581687,-927.2356193
12,6672.198761,10008.29814,11676.34783,15012.44721,16680.4969,1440.169587,2160.254381,2520.296777,3240.381571,3600.423968,-763.1291602,-992.0679083
13,6497.606314,9746.409471,11370.81105,14619.61421,16244.01578,1492.440274,2238.660411,2611.770479,3357.990616,3731.100685,-810.2896206,-1053.376507
14,6413.574659,9620.361988,11223.75565,14430.54298,16033.93665,1515.980658,2273.970988,2652.966152,3410.956481,3789.951646,-832.8844109,-1082.749734
15,6249.089025,9373.633538,10935.90579,14060.45031,15622.72256,1558.384427,2337.57664,2727.172747,3506.36496,3895.961067,-876.1644794,-1139.013823
16,6090.863416,9136.295124,10659.01098,13704.44269,15227.15854,1595.186564,2392.779845,2791.576486,3589.169768,3987.966409,-916.9794871,-1192.073333
17,5938.569616,8907.854424,10392.49683,13361.78164,14846.42404,1627.091622,2440.637433,2847.410339,3660.95615,4067.729055,-955.4255391,-1242.053201
18,5791.884046,8687.826069,10135.79708,13031.7391,14479.71012,1654.742423,2482.113634,2895.79924,3723.170452,4136.856057,-991.5975499,-1289.076815
19,5650.488408,8475.732611,9888.354713,12713.59892,14126.22102,1678.723372,2518.085058,2937.765901,3777.127587,4196.808431,-1025.589243,-1333.266016
20,5514.070277,8271.105416,9649.622985,12406.65812,13785.17569,1699.563694,2549.345541,2974.236464,3824.018311,4248.909235,-1057.493154,-1374.7411
21,5382.32365,8073.485476,9419.066388,12110.22821,13455.80913,1717.74058,2576.61087,3006.046015,3864.916305,4294.351449,-1087.400624,-1413.620811
22,5254.94945,7882.424174,9196.161537,11823.63626,13137.37362,1733.682254,2600.523381,3033.943944,3900.785071,4334.205634,-1115.401806,-1450.022348
23,5131.655993,7697.48399,8980.397988,11546.22599,12829.13998,1747.770952,2621.656428,3058.599167,3932.484643,4369.427381,-1141.585664,-1484.061363
24,5012.159437,7518.239156,8771.279015,11277.35873,12530.39859,1760.34582,2640.51873,3080.605185,3960.778096,4400.864551,-1166.039969,-1515.851959
25,4896.184182,7344.276273,8568.322318,11016.41441,12240.46045,1771.705723,2657.558584,3100.485015,3986.337876,4429.264307,-1188.851302,-1545.506693
26,4783.463256,7175.194884,8371.060697,10762.79233,11958.65814,1782.111972,2673.167959,3118.695952,4009.751938,4455.279931,-1210.105056,-1573.136573
27,4673.738667,7010.608001,8179.042668,10515.912,11684.34667,1791.790972,2687.686458,3135.634202,4031.529688,4479.477431,-1229.88543,-1598.851059
28,4618.617449,6927.926173,8082.580535,10391.88926,11546.54362,1796.41959,2694.629386,3143.734283,4041.944078,4491.048976,-1239.249087,-1611.023813
