BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DMH17H_TC-2A.xlsx,,,,,,,
#,R: ,2.976,,W: ,Force,,E: ,2,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,1.119064348,2.014315826,3.133380173,4.028631652,4.476257391,-0.05348694,0.423386154,0.658600684,0.846772308,0.940858121,-0.178289801,-0.356579602
#,0.313464112,0.564235401,0.877699513,1.128470802,1.253856447,-0.090289422,0.407093328,0.633256288,0.814186655,0.904651839,-0.300964741,-0.601929481
#,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0,0
#,1,2,3,4,5,6,7,8,9,10,16,17
0,11812.34589,21262.22261,33074.5685,42524.44521,47249.38357,-0.011186522,0,0,0,0,-0.037288407,-0.074576813
1,11390.84566,20503.52219,31894.36785,41007.04438,45563.38265,-16.69982806,247.1201564,384.4091322,494.2403128,549.1559031,-55.66609352,-111.332187
2,11072.83032,19931.09457,31003.92489,39862.18915,44291.32128,-48.94801147,703.2603588,1093.960558,1406.520718,1562.800797,-163.1600382,-326.3200765
3,10750.80349,19351.44628,30102.24976,38702.89255,43003.21395,-79.72713739,1111.917591,1729.649586,2223.835182,2470.927981,-265.7571246,-531.5142492
4,10439.08786,18790.35815,29229.44601,37580.7163,41756.35144,-109.08049,1477.120573,2297.743114,2954.241147,3282.490163,-363.6016334,-727.2032668
5,10138.89221,18250.00597,28388.89818,36500.01195,40555.56883,-137.0508893,1802.649803,2804.121915,3605.299605,4005.888451,-456.8362978,-913.6725956
6,9850.989024,17731.78024,27582.76927,35463.56049,39403.9561,-163.680691,2092.047392,3254.295943,4184.094784,4648.994205,-545.6023034,-1091.204607
7,9573.154173,17231.67751,26804.83168,34463.35502,38292.61669,-189.0117865,2348.626717,3653.419337,4697.253433,5219.170481,-630.0392883,-1260.078577
8,9306.278151,16751.30067,26057.57882,33502.60134,37225.1126,-213.0856029,2575.481871,4006.305133,5150.963742,5723.293047,-710.2853432,-1420.570686
9,9049.965557,16289.938,25339.90356,32579.876,36199.86223,-235.9431033,2775.496939,4317.439682,5550.993877,6167.770975,-786.4770109,-1572.954022
10,8803.803839,15846.84691,24650.65075,31693.69382,35215.21536,-257.6247861,2951.355067,4590.996771,5902.710135,6558.566816,-858.7492869,-1717.498574
11,8567.372601,15421.27068,23988.64328,30842.54136,34269.49041,-278.1706858,3105.54736,4830.851449,6211.09472,6901.216355,-927.2356193,-1854.471239
12,8340.248451,15012.44721,23352.69566,30024.89442,33360.9938,-297.6203725,3240.381571,5040.593555,6480.763142,7200.847935,-992.0679083,-1984.135817
13,8122.007892,14619.61421,22741.6221,29239.22841,32488.03157,-316.012952,3357.990616,5223.540958,6715.981232,7462.201369,-1053.376507,-2106.753014
14,8016.968323,14430.54298,22447.51131,28861.08596,32067.87329,-324.8249203,3410.956481,5305.932304,6821.912963,7579.903292,-1082.749734,-2165.499468
15,7811.361282,14060.45031,21871.81159,28120.90061,31245.44513,-341.704147,3506.36496,5454.345494,7012.729921,7791.922134,-1139.013823,-2278.027646
16,7613.57927,13704.44269,21318.02196,27408.88537,30454.31708,-357.622,3589.169768,5583.152972,7178.339536,7975.932818,-1192.073333,-2384.146667
17,7423.21202,13361.78164,20784.99366,26723.56327,29692.84808,-372.6159603,3660.95615,5694.820677,7321.912299,8135.45811,-1242.053201,-2484.106402
18,7239.855058,13031.7391,20271.59416,26063.47821,28959.42023,-386.7230444,3723.170452,5791.59848,7446.340903,8273.712115,-1289.076815,-2578.15363
19,7063.11051,12713.59892,19776.70943,25427.19783,28252.44204,-399.9798049,3777.127587,5875.531803,7554.255175,8393.616861,-1333.266016,-2666.532033
20,6892.587846,12406.65812,19299.24597,24813.31625,27570.35139,-412.4223299,3824.018311,5948.472929,7648.036623,8497.818469,-1374.7411,-2749.482199
21,6727.904563,12110.22821,18838.13278,24220.45643,26911.61825,-424.0862432,3864.916305,6012.092029,7729.832609,8588.702899,-1413.620811,-2827.241621
22,6568.686812,11823.63626,18392.32307,23647.27252,26274.74725,-435.0067044,3900.785071,6067.887888,7801.570142,8668.411269,-1450.022348,-2900.044696
23,6414.569992,11546.22599,17960.79598,23092.45197,25658.27997,-445.2184089,3932.484643,6117.198333,7864.969285,8738.854761,-1484.061363,-2968.122726
24,6265.199296,11277.35873,17542.55803,22554.71747,25060.79719,-454.7555878,3960.778096,6161.210371,7921.556191,8801.729101,-1515.851959,-3031.703919
25,6120.230227,11016.41441,17136.64464,22032.82882,24480.92091,-463.6520079,3986.337876,6200.97003,7972.675752,8858.528614,-1545.506693,-3091.013386
26,5979.32907,10762.79233,16742.12139,21525.58465,23917.31628,-471.9409718,4009.751938,6237.391904,8019.503876,8910.559862,-1573.136573,-3146.273145
27,5842.173334,10515.912,16358.08534,21031.824,23368.69334,-479.6553177,4031.529688,6271.268403,8063.059375,8958.954862,-1598.851059,-3197.702118
28,5773.271811,10391.88926,16165.16107,20783.77852,23093.08724,-483.3071439,4041.944078,6287.468566,8083.888157,8982.097952,-1611.023813,-3222.047626
29,5641.115898,10154.00862,15795.12451,20308.01723,22564.46359,-490.2201192,4062.064798,6318.767464,8124.129597,9026.810663,-1634.067064,-3268.134128
30,5511.948375,9921.507076,15433.45545,19843.01415,22047.7935,-496.638541,4081.516395,6349.025504,8163.03279,9070.036434,-1655.461803,-3310.923607
31,5388.959076,9700.126336,15089.08541,19400.25267,21555.8363,-502.5936229,4100.577453,6378.676038,8201.154907,9112.394341,-1675.312076,-3350.624153
