BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,800,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,
#,R: ,3.057,,W: ,Current_DC65,,,,,,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,0.25,0.45,0.7,0.9,1,3.00E-01,0.45,0.7,0.9,1,0.25,0.45,0.7,0.9,1,3.00E-01,0.45,0.7,0.9,1,0.00E+00,0
#,1,2,3,4,5,7,8,9,10,11,1,2,3,4,5,7,8,9,10,11,16,17
0,25,45,70,90,100,2.59021E-05,0,0,0,0,25,45,70,90,100,2.59021E-05,0,0,0,0,8.63403E-05,0.000172681
1,24.70942517,44.47696531,69.18639048,88.95393061,98.83770068,0.076434384,0.036285838,0.056444636,0.072571675,0.080635195,24.70942517,44.47696531,69.18639048,88.95393061,98.83770068,0.076434384,0.036285838,0.056444636,0.072571675,0.080635195,0.25478128,0.509562559
2,24.41465346,43.94637622,68.36102968,87.89275244,97.65861382,0.149390789,0.653616888,1.016737381,1.307233776,1.452481973,24.41465346,43.94637622,68.36102968,87.89275244,97.65861382,0.149390789,0.653616888,1.016737381,1.307233776,1.452481973,0.497969295,0.995938591
3,24.072825,43.331085,67.40390999,86.66216999,96.29129999,0.218995877,1.17288488,1.824487591,2.34576976,2.606410845,24.072825,43.331085,67.40390999,86.66216999,96.29129999,0.218995877,1.17288488,1.824487591,2.34576976,2.606410845,0.729986258,1.459972515
4,23.75946331,42.76703396,66.52649728,85.53406793,95.03785325,0.285349336,1.60618973,2.498517358,3.212379461,3.569310512,23.75946331,42.76703396,66.52649728,85.53406793,95.03785325,0.285349336,1.60618973,2.498517358,3.212379461,3.569310512,0.951164452,1.902328905
5,23.40197205,42.1235497,65.52552175,84.24709939,93.60788821,0.348549775,1.964752481,3.056281637,3.929504962,4.366116625,23.40197205,42.1235497,65.52552175,84.24709939,93.60788821,0.348549775,1.964752481,3.056281637,3.929504962,4.366116625,1.161832583,2.323665166
6,23.07880633,41.54185139,64.62065771,83.08370277,92.3152253,0.408694731,2.258951828,3.513925066,4.517903656,5.019892952,23.07880633,41.54185139,64.62065771,83.08370277,92.3152253,0.408694731,2.258951828,3.513925066,4.517903656,5.019892952,1.362315769,2.724631539
7,22.7199168,40.89585023,63.61576703,81.79170046,90.87966718,0.465880664,2.498359956,3.88633771,4.996719913,5.551911014,22.7199168,40.89585023,63.61576703,81.79170046,90.87966718,0.465880664,2.498359956,3.88633771,4.996719913,5.551911014,1.552935548,3.105871095
8,22.36208718,40.25175693,62.61384411,80.50351386,89.44834873,0.520202961,2.691777684,4.187209731,5.383555369,5.981728187,22.36208718,40.25175693,62.61384411,80.50351386,89.44834873,0.520202961,2.691777684,4.187209731,5.383555369,5.981728187,1.734009872,3.468019743
