BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,D: ,800,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,
#,R: ,3.057,,W: ,Force_DC65,,,,,,,,,,,,,,,,,
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
#,0.292321817,1.169287266,1.948812111,2.630896349,3.312980588,0.442506403,-0.078758689,0.361541499,0.602569165,0.813468373,0.292321817,1.169287266,1.948812111,2.630896349,3.312980588,0.442506403,-0.078758689,0.361541499,0.602569165,0.813468373,0.869252064,1.022649487
#,0.03318798,0.132751921,0.221253202,0.298691822,0.376130443,0,-0.160123751,0,0,0,0.03318798,0.132751921,0.221253202,0.298691822,0.376130443,0,-0.160123751,0,0,0,0.999666353,1.176078062
#,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0.25,0.45,0.7,0.9,1,0.3,0.45,0.7,0.9,1,0,0
#,1,2,3,4,5,7,8,9,10,11,1,2,3,4,5,7,8,9,10,11,16,17
0,11368.07064,20462.52716,31830.59781,40925.05432,45472.28258,-0.011778269,0,0,0,0,11368.07064,20462.52716,31830.59781,40925.05432,45472.28258,-0.011778269,0,0,0,0,-0.039260896,-0.078521791
1,11235.93964,20224.69135,31460.63098,40449.38269,44943.75855,-34.75645902,16.49999863,25.66666453,32.99999726,36.66666362,11235.93964,20224.69135,31460.63098,40449.38269,44943.75855,-34.75645902,16.49999863,25.66666453,32.99999726,36.66666362,-115.8548634,-231.7097268
2,11101.90021,19983.42038,31085.32059,39966.84076,44407.60084,-67.93140155,297.2145182,462.333695,594.4290364,660.4767071,11101.90021,19983.42038,31085.32059,39966.84076,44407.60084,-67.93140155,297.2145182,462.333695,594.4290364,660.4767071,-226.4380052,-452.8760103
3,10946.46301,19703.63341,30650.09642,39407.26683,43785.85203,-99.58242414,533.337527,829.6361531,1066.675054,1185.194504,10946.46301,19703.63341,30650.09642,39407.26683,43785.85203,-99.58242414,533.337527,829.6361531,1066.675054,1185.194504,-331.9414138,-663.8828276
4,10803.9703,19447.14653,30251.11683,38894.29307,43215.88119,-129.7548563,730.3711329,1136.132873,1460.742266,1623.046962,10803.9703,19447.14653,30251.11683,38894.29307,43215.88119,-129.7548563,730.3711329,1136.132873,1460.742266,1623.046962,-432.5161876,-865.0323751
5,10641.41086,19154.53955,29795.95041,38309.0791,42565.64344,-158.4935386,893.4178002,1389.761023,1786.8356,1985.372889,10641.41086,19154.53955,29795.95041,38309.0791,42565.64344,-158.4935386,893.4178002,1389.761023,1786.8356,1985.372889,-528.3117952,-1056.62359
