BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,,,,,,
#,R: ,2.362,,W: ,Current,,,,,,,,,,,,,,,,,,,,êÿ,í‚,CB
#,ïœ,ïœ,ïœ,ïœ,ïœ,ïœ,íº1,íº1,íº1,íº1,íº1,íº1,ïœ,ïœ,ïœ,ïœ,ïœ,ïœ,íº1,íº1,íº1,íº1,íº1,íº1,B1,B2,B3
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,0.075,0.3,0.5,0.675,0.85,1,3.00E-01,0.3,0.5,0.675,0.85,1,0.075,0.3,0.5,0.675,0.85,1,3.00E-01,0.3,0.5,0.675,0.85,1,0.00E+00,0,0
#,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,16,17,18
0,7.5,30,50,67.5,85,100,2.13692E-05,0,0,0,0,0,7.5,30,50,67.5,85,100,2.13692E-05,0,0,0,0,0,7.12307E-05,0.000142461,0.000219171
1,7.395997598,29.58399039,49.30665065,66.56397838,83.82130611,98.6133013,0.031901094,0,0,0,0,0,7.395997598,29.58399039,49.30665065,66.56397838,83.82130611,98.6133013,0.031901094,0,0,0,0,0,0.106336978,0.212673957,0.327190703
2,7.189498814,28.75799526,47.9299921,64.70548933,81.48098656,95.85998419,0.093503663,0.196900458,0.328167431,0.443026032,0.557884632,0.656334862,7.189498814,28.75799526,47.9299921,64.70548933,81.48098656,95.85998419,0.093503663,0.196900458,0.328167431,0.443026032,0.557884632,0.656334862,0.311678876,0.623357752,0.959011926
3,7.078716948,28.31486779,47.19144632,63.70845253,80.22545874,94.38289264,0.123247401,0.359489288,0.599148814,0.808850899,1.018552983,1.198297628,7.078716948,28.31486779,47.19144632,63.70845253,80.22545874,94.38289264,0.123247401,0.359489288,0.599148814,0.808850899,1.018552983,1.198297628,0.410824669,0.821649337,1.264075904
4,6.864723451,27.4588938,45.76482301,61.78251106,77.80019911,91.52964601,0.180671599,0.645086684,1.075144473,1.451445039,1.827745605,2.150288947,6.864723451,27.4588938,45.76482301,61.78251106,77.80019911,91.52964601,0.180671599,0.645086684,1.075144473,1.451445039,1.827745605,2.150288947,0.602238662,1.204477325,1.853042038
5,6.773187212,27.09274885,45.15458141,60.95868491,76.7627884,90.30916282,0.208372619,0.769758669,1.282931114,1.731957004,2.180982894,2.565862229,6.773187212,27.09274885,45.15458141,60.95868491,76.7627884,90.30916282,0.208372619,0.769758669,1.282931114,1.731957004,2.180982894,2.565862229,0.694575398,1.389150795,2.13715507
6,6.575387172,26.30154869,43.83591448,59.17848455,74.52105462,87.67182896,0.261803488,0.986780234,1.644633724,2.220255527,2.79587733,3.289267448,6.575387172,26.30154869,43.83591448,59.17848455,74.52105462,87.67182896,0.261803488,0.986780234,1.644633724,2.220255527,2.79587733,3.289267448,0.872678294,1.745356588,2.685163982
