BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,D: ,820,,B: ,JNR_DML30HSD_DW4.xlsx,,,,,,,,,,,,,,,,,,,,,,
#,R: ,2.362,,W: ,Force,,,,,,,,,,,,,,,,,,,,êÿ,í‚,CB
#,ïœ,ïœ,ïœ,ïœ,ïœ,ïœ,íº1,íº1,íº1,íº1,íº1,íº1,ïœ,ïœ,ïœ,ïœ,ïœ,ïœ,íº1,íº1,íº1,íº1,íº1,íº1,B1,B2,B3
#,0.267096298,1.068385194,1.78064199,2.403866686,3.027091383,3.56128398,-0.043098477,0.279924937,0.466541562,0.629831108,0.793120655,0.933083123,0.267096298,1.068385194,1.78064199,2.403866686,3.027091383,3.56128398,-0.043098477,0.279924937,0.466541562,0.629831108,0.793120655,0.933083123,-0.122165173,-0.244330346,-0.37589284
#,0.065681704,0.262726816,0.437878027,0.591135336,0.744392646,0.875756054,-0.064836289,0.269840621,0.449734368,0.607141397,0.764548426,0.899468736,0.065681704,0.262726816,0.437878027,0.591135336,0.744392646,0.875756054,-0.064836289,0.269840621,0.449734368,0.607141397,0.764548426,0.899468736,-0.15590187,-0.311803739,-0.479698061
#,0.075,0.3,0.5,0.675,0.85,1,0.3,0.3,0.5,0.675,0.85,1,0.075,0.3,0.5,0.675,0.85,1,0.3,0.3,0.5,0.675,0.85,1,0,0,0
#,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,16,17,18
0,3116.123482,12464.49393,20774.15655,28045.11134,35316.06613,41548.3131,-0.00887855,0,0,0,0,0,3116.123482,12464.49393,20774.15655,28045.11134,35316.06613,41548.3131,-0.00887855,0,0,0,0,0,-0.029595167,-0.059190334,-0.091062052
1,3072.912239,12291.64895,20486.08159,27656.21015,34826.3387,40972.16318,-13.25436622,0,0,0,0,0,3072.912239,12291.64895,20486.08159,27656.21015,34826.3387,40972.16318,-13.25436622,0,0,0,0,0,-44.18122073,-88.36244146,-135.9422176
2,2987.115478,11948.46191,19914.10318,26884.0393,33853.97541,39828.20637,-38.84919459,81.80881899,136.3480316,184.0698427,231.7916538,272.6960633,2987.115478,11948.46191,19914.10318,26884.0393,33853.97541,39828.20637,-38.84919459,81.80881899,136.3480316,184.0698427,231.7916538,272.6960633,-129.4973153,-258.9946306,-398.4532778
3,2941.087481,11764.34992,19607.24987,26469.78733,33332.32478,39214.49975,-51.20721589,149.3617351,248.9362251,336.0639039,423.1915827,497.8724502,2941.087481,11764.34992,19607.24987,26469.78733,33332.32478,39214.49975,-51.20721589,149.3617351,248.9362251,336.0639039,423.1915827,497.8724502,-170.6907196,-341.3814393,-525.2022143
4,2852.176793,11408.70717,19014.51195,25669.59114,32324.67032,38029.0239,-75.06600152,268.0226353,446.7043921,603.0509293,759.3974665,893.4087842,2852.176793,11408.70717,19014.51195,25669.59114,32324.67032,38029.0239,-75.06600152,268.0226353,446.7043921,603.0509293,759.3974665,893.4087842,-250.2200051,-500.4400102,-769.9077079
5,2814.145029,11256.58012,18760.96686,25327.30527,31893.64367,37521.93373,-86.57530828,319.8217417,533.0362362,719.5989189,906.1616016,1066.072472,2814.145029,11256.58012,18760.96686,25327.30527,31893.64367,37521.93373,-86.57530828,319.8217417,533.0362362,719.5989189,906.1616016,1066.072472,-288.5843609,-577.1687219,-887.9518798
6,2731.96245,10927.8498,18213.083,24587.66205,30962.2411,36426.166,-108.774933,409.9905413,683.3175689,922.478718,1161.639867,1366.635138,2731.96245,10927.8498,18213.083,24587.66205,30962.2411,36426.166,-108.774933,409.9905413,683.3175689,922.478718,1161.639867,1366.635138,-362.58311,-725.16622,-1115.640338
