BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,,
#,B: ,JNR_DC183-500_Formation.xlsx,,,,,,,,,,,
#,W: ,Current,,,F: ,6M3m,,,,,,,
#,1,2,3,4,5,6,7,8,9,10,16,17,18
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2,B3
0,25,45,70,90,100,1.12795E-05,0,0,0,0,3.75985E-05,7.5197E-05,0.000266082
1,23.25938958,41.86690124,65.12629082,83.73380248,93.03755831,0.021176708,0.313221327,0.487233175,0.626442653,0.696047393,0.070589027,0.141178053,0.499553111
2,22.31209248,40.16176646,62.47385894,80.32353292,89.24836992,0.062192514,0.892440755,1.388241174,1.784881509,1.983201677,0.207308379,0.279385247,0.988593951
3,21.35168799,38.43303838,59.78472637,76.86607676,85.40675196,0.082036976,1.158966241,1.802836375,2.317932482,2.575480536,0.273456588,0.546913176,1.935231237
4,20.95585947,37.72054704,58.6764065,75.44109408,83.82343786,0.120429338,1.650030446,2.566714027,3.300060891,3.666734324,0.401431127,0.676314921,2.393114336
5,20.26676163,36.48017094,56.74693257,72.96034187,81.06704652,0.138989291,1.876147269,2.918451307,3.752294537,4.169216152,0.463297636,0.926595271,3.278721729
6,19.92942405,35.87296329,55.80238734,71.74592658,79.7176962,0.174866688,2.293267682,3.567305283,4.586535364,5.096150404,0.582888959,1.047553903,3.706729197
7,19.31679767,34.7702358,54.08703347,69.5404716,77.26719067,0.192196038,2.485669954,3.866597706,4.971339908,5.523711008,0.64065346,1.281306919,4.533855253
8,19.00930553,34.21674995,53.22605548,68.4334999,76.03722211,0.225665621,2.841442934,4.420022342,5.682885868,6.314317631,0.752218738,1.394180347,4.933253534
9,18.44634414,33.20341945,51.64976359,66.40683891,73.78537656,0.241817613,3.006045238,4.676070371,6.012090477,6.680100529,0.806058709,1.612117418,5.704415481
10,18.18891868,32.74005362,50.92897229,65.48010724,72.75567471,0.272985206,3.311563113,5.151320398,6.623126227,7.359029141,0.909950686,1.717259123,6.076455357
11,17.63994469,31.75190044,49.39184513,63.50380089,70.55977876,0.302676274,3.589046026,5.582960484,7.178092051,7.975657835,1.008920912,1.920082788,6.794139095
12,17.4008043,31.32144775,48.72225205,62.64289549,69.60321721,0.316982516,3.718513701,5.784354646,7.437027402,8.26336378,1.056608387,2.017841824,7.140055687
