BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC185_Formation.xlsx,,,,,,,,,,
#,W: ,Current,,,F: ,2M0m,,,,,,
#,1,2,3,4,5,6,7,8,9,10,16,17
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
0,25,45,70,90,100,0,0,0,0,0,0,0
1,23.79642632,42.83356737,66.62999369,85.66713474,95.18570526,0.01209157,0.276371759,0.429911625,0.552743518,0.614159464,0.040305235,0.08061047
2,23.13439068,41.64190323,64.77629391,83.28380646,92.53756273,0.03578257,0.787447725,1.224918683,1.574895449,1.749883833,0.119275233,0.238550466
3,22.44497926,40.40096267,62.84594193,80.80192534,89.77991704,0.058693646,1.245201143,1.936979556,2.490402286,2.767113651,0.195645486,0.391290971
4,22.09009605,39.76217289,61.85226895,79.52434579,88.36038421,0.069860855,1.455909217,2.264747671,2.911818434,3.235353815,0.232869517,0.465739034
5,21.43099981,38.57579965,60.00679946,77.1515993,85.72399923,0.091627017,1.84440155,2.869069077,3.688803099,4.09867011,0.305423389,0.610846777
6,20.79555467,37.4319984,58.22755307,74.86399681,83.18221868,0.112646853,2.193238195,3.411703858,4.386476389,4.873862654,0.375489509,0.750979019
7,20.47130685,36.84835233,57.31965918,73.69670467,81.88522741,0.122881204,2.354281146,3.662215115,4.708562291,5.231735879,0.409604015,0.81920803
8,19.87198582,35.76957448,55.64156031,71.53914897,79.4879433,0.142807499,2.652392857,4.125944445,5.304785715,5.89420635,0.476024998,0.952049997
9,19.29583819,34.73250875,54.02834694,69.4650175,77.18335278,0.162022368,2.921967453,4.545282704,5.843934906,6.493261006,0.54007456,1.080149121
10,19.00237771,34.20427989,53.2066576,68.40855977,76.00951086,0.171367486,3.047254534,4.74017372,6.094509068,6.771676742,0.571224952,1.142449904
11,18.46041513,33.22874723,51.68916235,66.45749445,73.8416605,0.189542137,3.281041501,5.103842335,6.562083002,7.291203335,0.631807122,1.263614244
12,17.93992788,32.29187018,50.23179806,64.58374036,71.75971151,0.20704156,3.495155987,5.436909313,6.990311974,7.767013304,0.690138535,1.38027707
13,17.69977536,31.85959566,49.55937102,63.71919131,70.79910146,0.215542693,3.595778426,5.593433108,7.191556853,7.990618725,0.718475643,1.436951286
14,17.18633092,30.93539565,48.12172656,61.8707913,68.74532366,0.232057173,3.78587318,5.889136058,7.57174636,8.413051511,0.773523911,1.547047822
15,16.71679976,30.09023956,46.80703932,60.18047912,66.86719902,0.247933926,3.963184388,6.164953492,7.926368776,8.807076417,0.826446421,1.652892841
16,16.26598994,29.27878189,45.54477184,58.55756379,65.06395977,0.263188316,4.129973684,6.424403508,8.259947368,9.177719297,0.877294385,1.754588771
17,16.05720895,28.9029761,44.96018505,57.80595221,64.22883579,0.270586982,4.210058415,6.548979757,8.42011683,9.355685367,0.901956607,1.803913214
18,15.61404956,28.10528921,43.71933877,56.21057842,62.45619824,0.284937089,4.364745455,6.789604041,8.72949091,9.699434345,0.949790296,1.899580592
19,15.20709234,27.3727662,42.57985854,54.74553241,60.82836934,0.298704152,4.51347029,7.020953784,9.026940579,10.02993398,0.995680508,1.991361015
20,15.01780713,27.03205284,42.04985997,54.06410568,60.07122853,0.305374063,4.586050799,7.133856798,9.172101597,10.191224,1.017913545,2.035827089
21,14.63380704,26.34085267,40.97465972,52.68170535,58.53522817,0.3182968,4.72844216,7.35535447,9.456884319,10.50764924,1.060989332,2.121978665
22,14.26450457,25.67610823,39.9406128,51.35221646,57.05801829,0.330677113,4.868057335,7.572533633,9.736114671,10.81790519,1.102257044,2.204514088
23,14.07821099,25.34077979,39.41899078,50.68155958,56.31284397,0.336669045,4.937124527,7.679971487,9.874249054,10.97138784,1.122230149,2.244460298
24,13.72992694,24.71386848,38.44379542,49.42773697,54.91970774,0.348266937,5.074284886,7.893332044,10.14856977,11.27618863,1.16088979,2.321779581
25,13.39434377,24.10981879,37.50416256,48.21963758,53.57737509,0.359364328,5.210704837,8.105540857,10.42140967,11.57934408,1.197881093,2.395762185
26,13.22531309,23.80556356,37.03087664,47.61112711,52.90125235,0.364730681,5.278811208,8.211484102,10.55762242,11.73069157,1.215768936,2.431537872
27,12.90766364,23.23379455,36.14145819,46.4675891,51.63065456,0.375109507,5.415087951,8.423470146,10.8301759,12.03352878,1.250365024,2.500730047
28,12.60077254,22.68139057,35.28216312,45.36278115,50.40309017,0.385031053,5.551717149,8.636004454,11.1034343,12.33714922,1.283436843,2.566873686
29,12.30390564,22.14703015,34.45093579,44.2940603,49.21562256,0.394512971,5.688915306,8.849423809,11.37783061,12.64203401,1.315043237,2.630086473
30,12.16390861,21.89503549,34.0589441,43.79007098,48.65563442,0.399094643,5.757765405,8.956523963,11.51553081,12.79503423,1.330315476,2.660630952
31,11.88062092,21.38511766,33.26573858,42.77023532,47.52248369,0.407950673,5.895988477,9.171537631,11.79197695,13.10219662,1.359835576,2.719671153
32,11.60565583,20.8901805,32.49583633,41.780361,46.42262333,0.416412117,6.034870916,9.38757698,12.06974183,13.41082426,1.38804039,2.77608078
33,11.46634934,20.63942882,32.10577816,41.27885763,45.86539737,0.420500605,6.104526107,9.4959295,12.20905221,13.56561357,1.401668684,2.803337367
34,11.20256505,20.16461709,31.36718214,40.32923418,44.8102602,0.428404699,6.244157662,9.713134141,12.48831532,13.87590592,1.428015664,2.856031329
35,10.94538746,19.70169742,30.64708488,39.40339485,43.78154983,0.43596055,6.384027914,9.930710089,12.76805583,14.1867287,1.453201832,2.906403665
36,10.82406379,19.48331482,30.30737861,38.96662964,43.29625516,0.439613782,6.453968079,10.0395059,12.90793616,14.34215129,1.465379273,2.930758547
37,10.57585323,19.03653581,29.61238903,38.07307161,42.30341291,0.446682771,6.59366225,10.25680794,13.1873245,14.65258278,1.488942571,2.977885141
38,10.3327966,18.59903387,28.93183047,37.19806775,41.33118639,0.453451159,6.732815904,10.47326918,13.46563181,14.96181312,1.511503864,3.023007729
39,10.20733143,18.37319657,28.580528,36.74639315,40.82932572,0.456728689,6.802072141,10.58100111,13.60414428,15.11571587,1.522428963,3.044857926
40,9.970524397,17.94694392,27.91746831,35.89388783,39.88209759,0.463082655,6.939691836,10.79507619,13.87938367,15.42153741,1.54360885,3.087217701
41,9.737405988,17.52733078,27.26473677,35.05466156,38.94962395,0.469184963,7.075769675,11.00675283,14.15153935,15.72393261,1.563949877,3.127899754
42,9.521447207,17.13860497,26.66005218,34.27720994,38.08578883,0.475055554,7.209870418,11.21535398,14.41974084,16.02193426,1.583518515,3.16703703
43,9.401025303,16.92184555,26.32287085,33.84369109,37.60410121,0.477910245,7.276040685,11.31828551,14.55208137,16.1689793,1.59303415,3.186068299
44,9.175631681,16.51613703,25.69176871,33.03227405,36.70252673,0.483471106,7.406341534,11.52097572,14.81268307,16.45853674,1.611570354,3.223140707
45,8.952319106,16.11417439,25.0664935,32.22834878,35.80927642,0.488851014,7.533551474,11.71885785,15.06710295,16.7412255,1.62950338,3.25900676
46,8.850191056,15.9303439,24.78053496,31.8606878,35.40076423,0.491479562,7.595859637,11.81578166,15.19171927,16.87968808,1.638265206,3.276530411
47,8.630070656,15.53412718,24.16419784,31.06825436,34.52028262,0.49662686,7.71761292,12.00517565,15.43522584,17.15025093,1.655422867,3.310845735
48,8.41110714,15.13999285,23.55109999,30.2799857,33.64442856,0.501645269,7.835201014,12.18809047,15.67040203,17.41155781,1.672150898,3.344301796
49,8.312497262,14.96249507,23.27499233,29.92499014,33.24998905,0.504112754,7.892307282,12.27692244,15.78461456,17.53846063,1.680375848,3.360751695
50,8.09562193,14.57211947,22.6677414,29.14423895,32.38248772,0.508977625,8.002905293,12.44896379,16.00581059,17.78423398,1.696592084,3.393184168
51,7.87915583,14.18248049,22.06163632,28.36496099,31.51662332,0.513766971,8.108384993,12.61304332,16.21676999,18.01863332,1.712556571,3.425113142
