BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC185_Formation.xlsx,,,,,,,,,,
#,W: ,Force,,,F: ,2M0m,,,,,,
#,1,2,3,4,5,6,7,8,9,10,16,17
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
0,14232.57687,25618.63836,39851.21523,51237.27672,56930.30747,0,0,0,0,0,0,0
1,13547.37867,24385.2816,37932.66027,48770.56321,54189.51468,-6.883768222,157.339292,244.7500098,314.6785841,349.6428712,-22.94589407,-45.89178815
2,13170.47975,23706.86355,36877.34329,47413.72709,52681.91899,-20.37112707,448.2964109,697.3499724,896.5928217,996.2142463,-67.90375689,-135.8075138
3,12777.9957,23000.39227,35778.38797,46000.78454,51111.98282,-33.41447294,708.8968392,1102.728417,1417.793678,1575.326309,-111.3815765,-222.763153
4,12575.9596,22636.72729,35212.68689,45273.45457,50303.83841,-39.77199959,828.8535936,1289.327812,1657.707187,1841.896875,-132.573332,-265.146664
5,12200.73408,21961.32135,34162.05543,43922.6427,48802.93634,-52.16354226,1050.023473,1633.369847,2100.046946,2333.385496,-173.8784742,-347.7569484
6,11838.97321,21310.15178,33149.125,42620.30357,47355.89285,-64.13019967,1248.617248,1942.293496,2497.234495,2774.704995,-213.7673322,-427.5346645
7,11654.37793,20977.88028,32632.25821,41955.76056,46617.51174,-69.95664753,1340.299495,2084.910325,2680.59899,2978.443322,-233.1888251,-466.3776502
8,11313.18263,20363.72874,31676.91137,40727.45747,45252.73052,-81.30074855,1510.015409,2348.912858,3020.030818,3355.589798,-271.0024952,-542.0049903
9,10985.18001,19773.32402,30758.50404,39546.64805,43940.72005,-92.23983236,1663.485055,2587.643419,3326.97011,3696.633456,-307.4661079,-614.9322157
10,10818.11206,19472.60171,30290.71377,38945.20342,43272.44824,-97.56003646,1734.811376,2698.595473,3469.622751,3855.13639,-325.2001215,-650.4002431
11,10509.57109,18917.22797,29426.79906,37834.45593,42038.28437,-107.9069212,1867.907015,2905.633134,3735.814029,4150.904477,-359.6897372,-719.3794744
12,10213.2561,18383.86098,28597.11708,36767.72196,40853.0244,-117.869397,1989.80305,3095.249189,3979.6061,4421.784555,-392.8979899,-785.7959799
13,10076.53654,18137.76577,28214.3023,36275.53153,40306.14615,-122.7091178,2047.087714,3184.358666,4094.175428,4549.083809,-409.0303925,-818.0607851
14,9784.231033,17611.61586,27395.84689,35223.23172,39136.92413,-132.1108622,2155.309242,3352.703265,4310.618484,4789.576093,-440.3695408,-880.7390815
15,9516.9255,17130.4659,26647.3914,34260.9318,38067.702,-141.1495465,2256.253058,3509.726978,4512.506115,5013.895684,-470.4984883,-940.9969766
16,9260.278087,16668.50056,25928.77864,33337.00111,37041.11235,-149.8339173,2351.206717,3657.43267,4702.413433,5224.903815,-499.446391,-998.892782
17,9141.418424,16454.55316,25595.97159,32909.10633,36565.6737,-154.0460009,2396.7992,3728.354312,4793.598401,5326.220445,-513.4866697,-1026.973339
18,8889.126424,16000.42756,24889.55399,32000.85513,35556.5057,-162.2155608,2484.863008,3865.342457,4969.726016,5521.917795,-540.718536,-1081.437072
19,8657.444424,15583.39996,24240.84439,31166.79993,34629.7777,-170.0531923,2569.532513,3997.050577,5139.065027,5710.072252,-566.8439744,-1133.687949
20,8549.683776,15389.4308,23939.11457,30778.86159,34198.73511,-173.8503932,2610.85282,4061.32661,5221.705641,5801.895157,-579.5013108,-1159.002622
21,8331.071343,14995.92842,23326.99976,29991.85684,33324.28537,-181.2073467,2691.91666,4187.425916,5383.83332,5982.037022,-604.0244891,-1208.048978
22,8120.826313,14617.48736,22738.31368,29234.97473,32483.30525,-188.2554973,2771.400009,4311.066681,5542.800018,6158.666686,-627.5183243,-1255.036649
23,8014.768805,14426.58385,22441.35265,28853.1677,32059.07522,-191.6667223,2810.720173,4372.231381,5621.440347,6246.04483,-638.8890742,-1277.778148
24,7816.48962,14069.68132,21886.17094,28139.36263,31265.95848,-198.2694381,2888.805987,4493.698202,5777.611975,6419.568861,-660.8981271,-1321.796254
25,7625.441093,13725.79397,21351.23506,27451.58794,30501.76437,-204.5872168,2966.470285,4614.509332,5932.94057,6592.156189,-681.9573892,-1363.914778
26,7529.211405,13552.58053,21081.79193,27105.16106,30116.84562,-207.642298,3005.243452,4674.823147,6010.486903,6678.318782,-692.1409933,-1384.281987
27,7348.372597,13227.07067,20575.44327,26454.14135,29393.49039,-213.5509957,3082.82622,4795.507454,6165.65244,6850.724934,-711.8366525,-1423.673305
28,7173.658551,12912.58539,20086.24394,25825.17079,28694.63421,-219.1993623,3160.609643,4916.503889,6321.219286,7023.576984,-730.664541,-1461.329082
29,7004.651312,12608.37236,19613.02367,25216.74472,28018.60525,-224.5974474,3238.716975,5038.004184,6477.433951,7197.148834,-748.6581579,-1497.316316
30,6924.95057,12464.91103,19389.8616,24929.82205,27699.80228,-227.2058073,3277.913548,5098.976631,6555.827097,7284.25233,-757.3526909,-1514.705382
31,6763.67402,12174.61324,18938.28726,24349.22647,27054.69608,-232.2475724,3356.604368,5221.384573,6713.208737,7459.120818,-774.1585747,-1548.317149
32,6607.13555,11892.84399,18499.97954,23785.68798,26428.5422,-237.0646985,3435.670568,5344.376439,6871.341136,7634.823484,-790.2156617,-1580.431323
33,6527.827936,11750.09029,18277.91822,23500.18057,26111.31174,-239.3922874,3475.325482,5406.061861,6950.650965,7722.945516,-797.9742914,-1595.948583
34,6377.654728,11479.77851,17857.43324,22959.55702,25510.61891,-243.8921125,3554.818156,5529.717131,7109.636312,7899.595902,-812.9737084,-1625.947417
35,6231.242733,11216.23692,17447.47965,22432.47384,24924.97093,-248.1936814,3634.446721,5653.583787,7268.893441,8076.548268,-827.3122714,-1654.624543
36,6162.172797,11091.91103,17254.08383,22183.82207,24648.69119,-250.2734778,3674.263871,5715.521578,7348.527743,8165.030825,-834.2449259,-1668.489852
37,6020.865759,10837.55837,16858.42413,21675.11673,24083.46304,-254.2978751,3753.792193,5839.2323,7507.584385,8341.760428,-847.6595836,-1695.319167
38,5882.492873,10588.48717,16470.98004,21176.97434,23529.97149,-258.1511392,3833.012796,5962.464349,7666.025591,8517.806213,-860.5037975,-1721.007595
39,5811.065168,10459.9173,16270.98247,20919.8346,23244.26067,-260.0170469,3872.440584,6023.796464,7744.881168,8605.423521,-866.7234898,-1733.44698
40,5676.250196,10217.25035,15893.50055,20434.50071,22705.00078,-263.6343794,3950.7879,6145.670066,7901.575799,8779.528666,-878.7812647,-1757.562529
41,5543.535169,9978.363303,15521.89847,19956.72661,22174.14067,-267.1084421,4028.257432,6266.178227,8056.514864,8951.683182,-890.3614738,-1780.722948
42,5420.58917,9757.060507,15177.64968,19514.12101,21682.35668,-270.4505878,4104.601397,6384.935506,8209.202794,9121.336438,-901.5019594,-1803.003919
43,5352.032611,9633.658699,14985.69131,19267.3174,21408.13044,-272.0757718,4142.272334,6443.534741,8284.544668,9205.049631,-906.9192394,-1813.838479
44,5223.715329,9402.687591,14626.40292,18805.37518,20894.86131,-275.2415872,4216.453008,6558.926901,8432.906015,9369.895573,-917.4719574,-1834.943915
45,5096.582793,9173.849027,14270.43182,18347.69805,20386.33117,-278.3043854,4288.874018,6671.581805,8577.748036,9530.831151,-927.6812846,-1855.362569
46,5038.44098,9069.193764,14107.63474,18138.38753,20153.76392,-279.8008256,4324.346246,6726.760828,8648.692493,9609.658325,-932.6694187,-1865.338837
47,4913.125759,8843.626367,13756.75213,17687.25273,19652.50304,-282.7311985,4393.660765,6834.583411,8787.321529,9763.690588,-942.4373284,-1884.874657
48,4788.469156,8619.244482,13407.71364,17238.48896,19153.87663,-285.5881943,4460.604028,6938.717377,8921.208056,9912.453396,-951.9606477,-1903.921295
49,4732.33025,8518.19445,13250.5247,17036.3889,18929.321,-286.992941,4493.114802,6989.289692,8986.229604,9984.69956,-956.6431367,-1913.286273
