BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,,,,,,,,,,,,
#,ïœ,ïœ,ïœ,ïœ,ïœ,íº1,íº1,íº1,íº1,íº1,êÿ,í‚
#,1,2,3,4,5,6,7,8,9,10,16,17
0,40,60,70,90,100,0,0,0,0,0,0.000121413,0.000157837
1,38.57267901,57.85901852,67.50218827,86.78852778,96.43169753,0.464899951,0.697349927,0.813574915,1.046024891,1.162249879,0.181251346,0.23562675
2,37.49578761,56.24368142,65.61762832,84.36552213,93.73946903,1.323023226,1.98453484,2.315290646,2.976802259,3.307558066,0.531256547,0.690633511
3,36.40531215,54.60796823,63.70929627,81.91195235,91.01328039,2.091818173,3.13772726,3.660681803,4.70659089,5.229545433,0.865317352,1.124912558
4,35.87646968,53.81470452,62.78382194,80.72205678,89.6911742,2.445104456,3.667656684,4.278932798,5.501485026,6.11276114,1.026515611,1.334470295
5,34.83933022,52.25899533,60.96882788,78.38849299,87.09832554,3.093971091,4.640956637,5.41444941,6.961434955,7.734927728,1.337539097,1.738800826
6,33.8415056,50.76225841,59.22263481,76.14338761,84.60376401,3.671587404,5.507381105,6.425277956,8.261071658,9.178968509,1.633783201,2.123918161
7,33.35828163,50.03742245,58.37699285,75.05613367,83.39570408,3.935707816,5.903561723,6.887488677,8.855342585,9.839269539,1.776506053,2.309457869
8,32.41745293,48.62617939,56.73054262,72.93926909,81.04363232,4.418403024,6.627604536,7.732205293,9.941406805,11.04600756,2.051436738,2.666867759
9,31.51373397,47.27060096,55.14903445,70.90590144,78.78433493,4.845179018,7.267768527,8.479063282,10.90165279,12.11294755,2.312721562,3.006538031
10,31.07600727,46.61401091,54.38301273,69.92101636,77.69001818,5.039307817,7.558961726,8.81878868,11.33844259,12.59826954,2.438385908,3.169901681
11,30.22600024,45.33900036,52.89550042,68.00850054,75.5650006,5.392259467,8.0883892,9.436454067,12.1325838,13.48064867,2.680033975,3.484044167
12,29.40959937,44.11439905,51.46679889,66.17159858,73.52399842,5.702152721,8.553229081,9.978767261,12.82984362,14.2553818,2.909138209,3.781879672
13,29.0115873,43.51738095,50.77027777,65.27607142,72.52896825,5.842375781,8.763563671,10.22415762,13.14534551,14.60593945,3.019121584,3.924858059
14,28.24247961,42.36371942,49.42433932,63.54557913,70.60619903,6.096035454,9.144053181,10.66806204,13.71607977,15.24008864,3.230218482,4.199284026
15,27.50345432,41.25518149,48.13104507,61.88277223,68.75863581,6.317289925,9.475934887,11.05525737,14.21390233,15.79322481,3.429842082,4.458794707
16,26.79308356,40.18962533,46.88789622,60.284438,66.98270889,6.509838516,9.764757774,11.3922174,14.64713666,16.27459629,3.618411781,4.703935316
17,26.45151557,39.67727335,46.29015225,59.51591003,66.12878892,6.596422256,9.894633384,11.54373895,14.84195008,16.49105564,3.708681101,4.821285432
18,25.7817688,38.6726532,45.1180954,58.0089798,64.454422,6.752200529,10.12830079,11.81635093,15.19245119,16.88050132,3.881445293,5.04587888
19,25.13713055,37.70569583,43.98997847,56.55854374,62.84282638,6.887250157,10.33087524,12.05268778,15.49631285,17.21812539,4.044182027,5.257436636
20,24.8198081,37.22971215,43.43466418,55.84456823,62.04952025,6.947861854,10.42179278,12.15875824,15.63268917,17.36965463,4.121915845,5.358490599
21,24.21005257,36.31507886,42.36759201,54.47261829,60.52513144,7.056842527,10.58526379,12.34947442,15.87789568,17.64210632,4.27036312,5.551472055
22,23.62204782,35.43307174,41.33858369,53.1496076,59.05511956,7.151437654,10.72715648,12.51501589,16.09073472,17.87859413,4.409777889,5.732711256
23,23.34028451,35.01042677,40.84549789,52.51564015,58.35071128,7.194014252,10.79102138,12.58952494,16.18653207,17.98503563,4.476219894,5.819085863
24,22.78261956,34.17392933,39.86958422,51.260894,56.95654889,7.270954455,10.90643168,12.7241703,16.35964752,18.17738614,4.602814011,5.983658215
25,22.24346247,33.3651937,38.92605931,50.04779055,55.60865616,7.338433321,11.00764998,12.84225831,16.51147497,18.3460833,4.721339082,6.137740807
26,21.97555512,32.96333267,38.45722145,49.44499901,54.93888779,7.369137628,11.05370644,12.89599085,16.58055966,18.42284407,4.777693599,6.211001678
27,21.46172018,32.19258027,37.55801032,48.28887041,53.65430046,7.42540068,11.13810102,12.99445119,16.70715153,18.5635017,4.884819585,6.350265461
28,20.96337595,31.44506392,36.6859079,47.16759588,52.40843986,7.475909009,11.21386351,13.08284077,16.82079527,18.68977252,4.984808492,6.480251039
29,20.4793707,30.71905605,35.83889873,46.07858408,51.19842675,7.521846772,11.28277016,13.16323185,16.92415524,18.80461693,5.078024286,6.601431571
30,20.24772767,30.37159151,35.43352343,45.55738726,50.61931918,7.543429513,11.31514427,13.20100165,16.9727164,18.85857378,5.122204628,6.658866016
31,19.78327891,29.67491837,34.62073809,44.51237755,49.45819728,7.58439936,11.37659904,13.27269888,17.06489856,18.9609984,5.205932172,6.767711823
32,19.33046059,28.99569089,33.82830604,43.49353634,48.32615148,7.623112255,11.43466838,13.34044645,17.15200257,19.05778064,5.283774479,6.868906822
33,19.10244061,28.65366092,33.42927107,42.98049138,47.75610154,7.641844173,11.46276626,13.3732273,17.19414939,19.10461043,5.320597094,6.916776222
34,18.66504224,27.99756336,32.66382392,41.99634504,46.6626056,7.678437896,11.51765684,13.43726632,17.27648527,19.19609474,5.390259345,7.007337148
35,18.2485651,27.37284765,31.93498893,41.05927148,45.62141276,7.714296909,11.57144536,13.50001959,17.35716805,19.28574227,5.454892741,7.091360564
36,18.03187933,27.047819,31.55578883,40.5717285,45.07969833,7.732086577,11.59812987,13.53115151,17.3971948,19.33021644,5.485428109,7.131056541
37,17.61588746,26.42383119,30.82780306,39.63574679,44.03971866,7.767605952,11.65140893,13.59331042,17.47711339,19.41901488,5.543142403,7.206085124
38,17.20689552,25.81034328,30.11206716,38.71551492,43.0172388,7.803275368,11.70491305,13.65573189,17.55736958,19.50818842,5.596652733,7.275648553
39,17.01110085,25.51665128,29.76942649,38.27497691,42.52775213,7.82123397,11.73185095,13.68715945,17.59777643,19.55308492,5.621931964,7.308511554
40,16.61134816,24.91702224,29.06985928,37.37553336,41.5283704,7.857494436,11.78624165,13.75061526,17.67936248,19.64373609,5.669736907,7.370657979
41,16.21672388,24.32508582,28.3792668,36.48762874,40.54180971,7.894292138,11.84143821,13.81501124,17.76215731,19.73573035,5.714131283,7.428370668
42,15.82655501,23.73983251,27.69647127,35.60974877,39.56638752,7.931671327,11.89750699,13.88042482,17.84626049,19.82917832,5.755423632,7.482050721
43,15.63988959,23.45983439,27.36980679,35.18975158,39.09972398,7.950578433,11.92586765,13.91351226,17.88880148,19.87644608,5.775001587,7.507502063
44,15.25552702,22.88329053,26.69717228,34.32493579,38.13881755,7.988801339,11.98320201,13.98040234,17.97480301,19.97200335,5.812208387,7.555870903
45,14.87417557,22.31126335,26.02980724,33.46689503,37.18543892,8.027504888,12.04125733,14.04813355,18.061886,20.06876222,5.847062467,7.601181207
46,14.69191181,22.03786772,25.71084567,33.05680157,36.72977953,8.047004642,12.07050696,14.08225812,18.10576044,20.1175116,5.863698342,7.622807844
47,14.31448262,21.47172393,25.05034459,32.2075859,35.78620656,8.086219273,12.12932891,14.15088373,18.19399336,20.21554818,5.895567213,7.664237377
48,13.9389313,20.90839694,24.39312977,31.36259541,34.84732824,8.125595093,12.18839264,14.21979141,18.28258896,20.31398773,5.925801178,7.703541531
49,13.75976996,20.63965494,24.07959743,30.95948242,34.39942491,8.145291647,12.21793747,14.25426038,18.32690621,20.36322912,5.940392238,7.72250991
50,13.38672667,20.08009001,23.42677168,30.12013502,33.46681668,8.184589831,12.27688475,14.3230322,18.41532712,20.46147458,5.968694096,7.759302324
51,13.01473862,19.52210794,22.77579259,29.28316191,32.53684656,8.223603662,12.33540549,14.39130641,18.50310824,20.55900915,5.996047367,7.794861577
52,12.83776952,19.25665428,22.46609666,28.88498142,32.0944238,8.242943033,12.36441455,14.42515031,18.54662182,20.60735758,6.009451514,7.812286969
53,12.46733883,18.70100825,21.81784296,28.05151237,31.16834708,8.281162744,12.42174412,14.4920348,18.63261617,20.70290686,6.035878539,7.846642101
54,12.09744715,18.14617073,21.17053251,27.21925609,30.24361788,8.318605042,12.47790756,14.55755882,18.71686134,20.7965126,6.062011806,7.880615348
55,11.74701262,17.62051893,20.55727208,26.43077839,29.36753155,8.355074342,12.53261151,14.6213801,18.79891727,20.88768585,6.088104428,7.914535756
56,11.55330168,17.32995252,20.21827794,25.99492878,28.8832542,8.37288466,12.55932699,14.65254816,18.83899049,20.93221165,6.101213217,7.931577182
57,11.20450713,16.8067607,19.60788748,25.21014105,28.01126783,8.407542627,12.61131394,14.7131996,18.91697091,21.01885657,6.127708436,7.966020967
58,10.83729904,16.25594856,18.96527333,24.38392285,27.09324761,8.440773462,12.66116019,14.77135356,18.99174029,21.10193365,6.154773747,8.001205872
59,10.66382085,15.99573127,18.66168648,23.9935969,26.65955211,8.456803062,12.68520459,14.79940536,19.02780689,21.14200766,6.168593971,8.019172163
60,10.29770637,15.44655955,18.02098614,23.16983933,25.74426592,8.487597808,12.73139671,14.85329616,19.09709507,21.21899452,6.196954367,8.056040676
61,9.932115889,14.89817383,17.38120281,22.34726075,24.83028972,8.516595445,12.77489317,14.90404203,19.16233975,21.29148861,6.226464099,8.094403329
62,9.76037082,14.64055623,17.08064893,21.96083434,24.40092705,8.530383025,12.79557454,14.92817029,19.19336181,21.32595756,6.241719813,8.114235758
63,9.396351071,14.09452661,16.44361437,21.14178991,23.49087768,8.556471862,12.83470779,14.97382576,19.25206169,21.39117966,6.273369877,8.15538084
64,9.055592706,13.58338906,15.84728723,20.37508359,22.63898176,8.580508928,12.87076339,15.01589062,19.30614509,21.45127232,6.306717029,8.198732138
