BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC80_Formation.xlsx,,,,,,,,,,
#,W: ,Force,,,F: ,6M2m,,,,,,
#,1,2,3,4,5,6,7,8,9,10,16,17
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
0,9075.084791,16335.15262,25410.23742,32670.30525,36300.33916,-0.008594282,0,0,0,0,-0.028647608,-0.057295215
1,8751.258316,15752.26497,24503.52329,31504.52994,35005.03327,-12.82999643,189.8552915,295.3304535,379.7105831,421.9006478,-42.76665476,-85.53330952
2,8506.936297,15312.48533,23819.42163,30624.97067,34027.74519,-37.60534601,540.2946582,840.4583572,1080.589316,1200.654796,-125.3511534,-250.7023067
3,8259.532366,14867.15826,23126.69063,29734.31652,33038.12946,-61.25206107,854.254228,1328.83991,1708.508456,1898.342729,-204.1735369,-408.3470738
4,8139.550108,14651.1902,22790.7403,29302.38039,32558.20043,-72.66258647,998.5288618,1553.267118,1997.057724,2218.953026,-242.2086216,-484.4172431
5,7904.246895,14227.64441,22131.89131,28455.28882,31616.98758,-94.67858956,1263.51225,1965.4635,2527.0245,2807.804999,-315.5952985,-631.1905971
6,7677.86332,13820.15398,21498.0173,27640.30795,30711.45328,-115.6484244,1499.398515,2332.39769,2998.79703,3331.996701,-385.494748,-770.9894961
7,7568.230857,13622.81554,21191.0464,27245.63109,30272.92343,-125.7511559,1607.259696,2500.18175,3214.519393,3571.688214,-419.1705196,-838.3410393
8,7354.778351,13238.60103,20593.37938,26477.20206,29419.1134,-145.2123062,1804.382194,2806.816746,3608.764388,4009.738209,-484.0410208,-968.0820416
9,7149.745197,12869.54136,20019.28655,25739.08271,28598.98079,-163.7075254,1978.668469,3077.928729,3957.336938,4397.041042,-545.6917512,-1091.383502
10,7050.435024,12690.78304,19741.21807,25381.56609,28201.7401,-172.6027592,2057.946558,3201.250201,4115.893116,4573.214573,-575.3425306,-1150.685061
11,6857.587877,12343.65818,19201.24606,24687.31636,27430.35151,-189.7079774,2202.084534,3425.464831,4404.169069,4893.521188,-632.3599247,-1264.719849
12,6672.365198,12010.25736,18682.62256,24020.51471,26689.46079,-205.9252721,2328.638374,3622.32636,4657.276749,5174.751943,-686.4175738,-1372.835148
13,6582.065367,11847.71766,18429.78303,23695.43532,26328.26147,-213.7105181,2385.902502,3711.403891,4771.805003,5302.005559,-712.3683935,-1424.736787
14,6407.57243,11533.63037,17941.2028,23067.26075,25630.28972,-228.6531516,2489.491739,3872.542705,4978.983477,5532.203864,-762.177172,-1524.354344
15,6239.904501,11231.8281,17471.7326,22463.6562,24959.618,-242.7836402,2579.847377,4013.09592,5159.694755,5732.994172,-809.2788006,-1618.557601
16,6078.737627,10941.72773,17020.46536,21883.45546,24314.95051,-256.1316711,2658.480143,4135.413556,5316.960286,5907.733651,-853.7722368,-1707.544474
17,6001.243666,10802.2386,16803.48227,21604.4772,24004.97466,-262.5214446,2693.839108,4190.416391,5387.678216,5986.309129,-875.0714819,-1750.142964
18,5849.293448,10528.72821,16378.02166,21057.45641,23397.17379,-274.7506721,2757.455655,4289.375463,5514.911309,6127.679233,-915.8355737,-1831.671147
19,5703.039779,10265.4716,15968.51138,20530.94321,22812.15912,-286.2700995,2812.607062,4375.166541,5625.214124,6250.237916,-954.233665,-1908.46733
20,5631.046576,10135.88384,15766.93041,20271.76767,22524.1863,-291.7725392,2837.359595,4413.670481,5674.71919,6305.243544,-972.5751307,-1945.150261
21,5492.706998,9886.872596,15379.57959,19773.74519,21970.82799,-302.2804777,2881.864993,4482.9011,5763.729986,6404.144429,-1007.601592,-2015.203185
22,5359.302174,9646.743912,15006.04609,19293.48782,21437.20869,-312.1490444,2920.495639,4542.993216,5840.991278,6489.990309,-1040.496815,-2080.993629
23,5295.376525,9531.677744,14827.05427,19063.35549,21181.5061,-316.8521857,2937.88302,4570.040253,5875.766039,6528.628933,-1056.173952,-2112.347904
24,5168.855106,9303.939191,14472.7943,18607.87838,20675.42042,-325.813234,2969.303769,4618.916974,5938.607537,6598.452819,-1086.044113,-2172.088226
25,5046.532698,9083.758857,14130.29155,18167.51771,20186.13079,-334.2031095,2996.860708,4661.783323,5993.721416,6659.690462,-1114.010365,-2228.02073
26,4985.75065,8974.35117,13960.10182,17948.70234,19943.0026,-338.1922012,3009.399697,4681.288417,6018.799393,6687.554882,-1127.307337,-2254.614675
27,4869.173261,8764.511869,13633.68513,17529.02374,19476.69304,-345.775185,3032.376335,4717.029854,6064.75267,6738.614078,-1152.58395,-2305.1679
28,4756.110355,8560.99864,13317.10899,17121.99728,19024.44142,-352.8529659,3053.002867,4749.11557,6106.005733,6784.450815,-1176.176553,-2352.353106
29,4646.300639,8363.341151,13009.64179,16726.6823,18585.20256,-359.4513075,3071.762876,4778.297807,6143.525751,6826.139724,-1198.171025,-2396.34205
30,4593.746136,8268.743045,12862.48918,16537.48609,18374.98455,-362.5786423,3080.57681,4792.008371,6161.15362,6845.726245,-1208.595474,-2417.190948
31,4488.373339,8079.07201,12567.44535,16158.14402,17953.49336,-368.5053518,3097.308027,4818.034709,6194.616055,6882.906728,-1228.351173,-2456.702345
32,4385.639223,7894.150602,12279.78983,15788.3012,17542.55689,-374.015471,3113.117554,4842.627306,6226.235108,6918.039009,-1246.718237,-2493.436473
33,4333.906707,7801.032073,12134.93878,15602.06415,17335.62683,-376.6219842,3120.767273,4854.526868,6241.534545,6935.038383,-1255.406614,-2510.813228
34,4234.671024,7622.407843,11857.07887,15244.81569,16938.68409,-381.5530727,3135.711374,4877.773248,6271.422747,6968.247497,-1271.843576,-2543.687151
35,4140.181891,7452.327403,11592.50929,14904.65481,16560.72756,-386.1281904,3150.355435,4900.552899,6300.71087,7000.789856,-1287.093968,-2574.187936
36,4091.020847,7363.837525,11454.85837,14727.67505,16364.08339,-388.2896566,3157.620358,4911.853891,6315.240717,7016.93413,-1294.298855,-2588.59771
37,3996.64181,7193.955258,11190.59707,14387.91052,15986.56724,-392.3750011,3172.125719,4934.417785,6344.251437,7049.168264,-1307.91667,-2615.83334
38,3903.850896,7026.931612,10930.78251,14053.86322,15615.40358,-396.1627652,3186.692353,4957.076993,6373.384705,7081.538561,-1320.542551,-2641.085101
39,3859.429565,6946.973217,10806.40278,13893.94643,15437.71826,-397.9521723,3194.026265,4968.485301,6388.05253,7097.836144,-1326.507241,-2653.014482
40,3768.734826,6783.722687,10552.45751,13567.44537,15074.9393,-401.3360768,3208.834271,4991.519978,6417.668543,7130.742826,-1337.786923,-2675.573845
41,3679.203607,6622.566492,10301.7701,13245.13298,14716.81443,-404.478562,3223.861673,5014.895936,6447.723347,7164.137052,-1348.261873,-2696.523747
42,3590.683217,6463.22979,10053.91301,12926.45958,14362.73287,-407.4014682,3239.126542,5038.641288,6478.253085,7198.058983,-1358.004894,-2716.009788
43,3548.333104,6386.999588,9935.332692,12773.99918,14193.33242,-408.7873068,3246.847804,5050.65214,6493.695608,7215.217342,-1362.624356,-2725.248712
44,3461.130031,6230.034056,9691.164087,12460.06811,13844.52012,-411.4210147,3262.457229,5074.933467,6524.914458,7249.904953,-1371.403382,-2742.806765
45,3374.610112,6074.298201,9448.908313,12148.5964,13498.44045,-413.8881838,3278.262938,5099.520126,6556.525877,7285.028752,-1379.627279,-2759.254559
46,3333.258636,5999.865544,9333.12418,11999.73109,13333.03454,-415.0657652,3286.226225,5111.907461,6572.452449,7302.724944,-1383.552551,-2767.105101
47,3247.628588,5845.731459,9093.360048,11691.46292,12990.51435,-417.3216243,3302.240649,5136.818788,6604.481298,7338.312554,-1391.072081,-2782.144162
48,3162.424585,5692.364253,8854.788838,11384.72851,12649.69834,-419.4617555,3318.3209,5161.832511,6636.6418,7374.046445,-1398.205852,-2796.411704
49,3121.776978,5619.19856,8740.975538,11238.39712,12487.10791,-420.4945934,3326.364555,5174.344864,6652.729111,7391.921234,-1401.648645,-2803.297289
