BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,
#,This table is Auto-Generated.,,,,,,,,,,,
#,B: ,JNR_DC80_Formation.xlsx,,,,,,,,,,
#,W: ,Current,,,F: ,4M2m,,,,,,
#,1,2,3,4,5,6.00E+00,7,8,9,10,1.60E+01,17
#,•Ï,•Ï,•Ï,•Ï,•Ï,’¼1,’¼1,’¼1,’¼1,’¼1,B1,B2
0,25,45,70,90,100,2.36755E-05,0,0,0,0,7.89183E-05,0.000157837
1,24.10792438,43.39426389,67.50218827,86.78852778,96.43169753,0.035344013,0.523012445,0.813574915,1.046024891,1.162249879,0.117813375,0.23562675
2,23.43486726,42.18276106,65.61762832,84.36552213,93.73946903,0.103595027,1.48840113,2.315290646,2.976802259,3.307558066,0.345316755,0.690633511
3,22.7533201,40.95597617,63.70929627,81.91195235,91.01328039,0.168736884,2.353295445,3.660681803,4.70659089,5.229545433,0.562456279,1.124912558
4,22.42279355,40.36102839,62.78382194,80.72205678,89.6911742,0.200170544,2.750742513,4.278932798,5.501485026,6.11276114,0.667235147,1.334470295
5,21.77458139,39.19424649,60.96882788,78.38849299,87.09832554,0.260820124,3.480717478,5.41444941,6.961434955,7.734927728,0.869400413,1.738800826
6,21.150941,38.0716938,59.22263481,76.14338761,84.60376401,0.318587724,4.130535829,6.425277956,8.261071658,9.178968509,1.061959081,2.123918161
7,20.84892602,37.52806683,58.37699285,75.05613367,83.39570408,0.34641868,4.427671293,6.887488677,8.855342585,9.839269539,1.154728934,2.309457869
8,20.26090808,36.46963454,56.73054262,72.93926909,81.04363232,0.400030164,4.970703402,7.732205293,9.941406805,11.04600756,1.33343388,2.666867759
9,19.69608373,35.45295072,55.14903445,70.90590144,78.78433493,0.450980705,5.450826395,8.479063282,10.90165279,12.11294755,1.503269015,3.006538031
10,19.42250454,34.96050818,54.38301273,69.92101636,77.69001818,0.475485252,5.669221294,8.81878868,11.33844259,12.59826954,1.58495084,3.169901681
11,18.89125015,34.00425027,52.89550042,68.00850054,75.5650006,0.522606625,6.0662919,9.436454067,12.1325838,13.48064867,1.742022084,3.484044167
12,18.38099961,33.08579929,51.46679889,66.17159858,73.52399842,0.567281951,6.414921811,9.978767261,12.82984362,14.2553818,1.890939836,3.781879672
13,18.13224206,32.63803571,50.77027777,65.27607142,72.52896825,0.588728709,6.572672753,10.22415762,13.14534551,14.60593945,1.962429029,3.924858059
14,17.65154976,31.77278956,49.42433932,63.54557913,70.60619903,0.629892604,6.858039886,10.66806204,13.71607977,15.24008864,2.099642013,4.199284026
15,17.18965895,30.94138611,48.13104507,61.88277223,68.75863581,0.668819206,7.106951165,11.05525737,14.21390233,15.79322481,2.229397353,4.458794707
16,16.74567722,30.142219,46.88789622,60.284438,66.98270889,0.705590297,7.32356833,11.3922174,14.64713666,16.27459629,2.351967658,4.703935316
17,16.53219723,29.75795502,46.29015225,59.51591003,66.12878892,0.723192815,7.420975038,11.54373895,14.84195008,16.49105564,2.410642716,4.821285432
18,16.1136055,29.0044899,45.1180954,58.0089798,64.454422,0.756881832,7.596225595,11.81635093,15.19245119,16.88050132,2.52293944,5.04587888
19,15.7107066,28.27927187,43.98997847,56.55854374,62.84282638,0.788615495,7.748156427,12.05268778,15.49631285,17.21812539,2.628718318,5.257436636
20,15.51238006,27.92228411,43.43466418,55.84456823,62.04952025,0.80377359,7.816344586,12.15875824,15.63268917,17.36965463,2.679245299,5.358490599
21,15.13128286,27.23630915,42.36759201,54.47261829,60.52513144,0.832720808,7.938947842,12.34947442,15.87789568,17.64210632,2.775736028,5.551472055
22,14.76377989,26.5748038,41.33858369,53.1496076,59.05511956,0.859906688,8.045367361,12.51501589,16.09073472,17.87859413,2.866355628,5.732711256
23,14.58767782,26.25782007,40.84549789,52.51564015,58.35071128,0.872862879,8.093266033,12.58952494,16.18653207,17.98503563,2.909542931,5.819085863
24,14.23913722,25.630447,39.86958422,51.260894,56.95654889,0.897548732,8.179823762,12.7241703,16.35964752,18.17738614,2.991829107,5.983658215
25,13.90216404,25.02389527,38.92605931,50.04779055,55.60865616,0.920661121,8.255737486,12.84225831,16.51147497,18.3460833,3.068870403,6.137740807
26,13.73472195,24.72249951,38.45722145,49.44499901,54.93888779,0.931650252,8.290279832,12.89599085,16.58055966,18.42284407,3.105500839,6.211001678
27,13.41357511,24.14443521,37.55801032,48.28887041,53.65430046,0.952539819,8.353575765,12.99445119,16.70715153,18.5635017,3.17513273,6.350265461
28,13.10210997,23.58379794,36.6859079,47.16759588,52.40843986,0.972037656,8.410397635,13.08284077,16.82079527,18.68977252,3.24012552,6.480251039
29,12.79960669,23.03929204,35.83889873,46.07858408,51.19842675,0.990214736,8.462077618,13.16323185,16.92415524,18.80461693,3.300715786,6.601431571
30,12.65482979,22.77869363,35.43352343,45.55738726,50.61931918,0.998829902,8.486358202,13.20100165,16.9727164,18.85857378,3.329433008,6.658866016
31,12.36454932,22.25618877,34.62073809,44.51237755,49.45819728,1.015156773,8.532449279,13.27269888,17.06489856,18.9609984,3.383855912,6.767711823
32,12.08153787,21.74676817,33.82830604,43.49353634,48.32615148,1.030336023,8.576001287,13.34044645,17.15200257,19.05778064,3.434453411,6.868906822
33,11.93902538,21.49024569,33.42927107,42.98049138,47.75610154,1.037516433,8.597074695,13.3732273,17.19414939,19.10461043,3.458388111,6.916776222
34,11.6656514,20.99817252,32.66382392,41.99634504,46.6626056,1.051100572,8.638242633,13.43726632,17.27648527,19.19609474,3.503668574,7.007337148
35,11.40535319,20.52963574,31.93498893,41.05927148,45.62141276,1.063704085,8.678584023,13.50001959,17.35716805,19.28574227,3.545680282,7.091360564
36,11.26992458,20.28586425,31.55578883,40.5717285,45.07969833,1.069658481,8.698597399,13.53115151,17.3971948,19.33021644,3.565528271,7.131056541
37,11.00992966,19.8178734,30.82780306,39.63574679,44.03971866,1.080912769,8.738556696,13.59331042,17.47711339,19.41901488,3.603042562,7.206085124
38,10.7543097,19.35775746,30.11206716,38.71551492,43.0172388,1.091347283,8.778684789,13.65573189,17.55736958,19.50818842,3.637824277,7.275648553
39,10.63193803,19.13748846,29.76942649,38.27497691,42.52775213,1.096276733,8.798888216,13.68715945,17.59777643,19.55308492,3.654255777,7.308511554
40,10.3820926,18.68776668,29.06985928,37.37553336,41.5283704,1.105598697,8.839681241,13.75061526,17.67936248,19.64373609,3.68532899,7.370657979
41,10.13545243,18.24381437,28.3792668,36.48762874,40.54180971,1.1142556,8.881078655,13.81501124,17.76215731,19.73573035,3.714185334,7.428370668
42,9.891596881,17.80487439,27.69647127,35.60974877,39.56638752,1.122307608,8.923130243,13.88042482,17.84626049,19.82917832,3.741025361,7.482050721
43,9.774930995,17.59487579,27.36980679,35.18975158,39.09972398,1.12612531,8.944400738,13.91351226,17.88880148,19.87644608,3.753751032,7.507502063
44,9.534704387,17.1624679,26.69717228,34.32493579,38.13881755,1.133380636,8.987401507,13.98040234,17.97480301,19.97200335,3.777935452,7.555870903
45,9.29635973,16.73344751,26.02980724,33.46689503,37.18543892,1.140177181,9.030942999,14.04813355,18.061886,20.06876222,3.800590604,7.601181207
46,9.182444881,16.52840079,25.71084567,33.05680157,36.72977953,1.143421177,9.052880222,14.08225812,18.10576044,20.1175116,3.811403922,7.622807844
