BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,•Ï3,’¼1,’¼1,’¼1,’¼1,’¼1,’¼1,’¼1,’¼1,’¼2,’¼2,’¼2,’¼2,’¼2,’¼2,’¼2,’¼2,’¼3,’¼3,’¼3,’¼3,’¼3,’¼3,’¼3,’¼3,B1,B2,B3
#,0.2,0.4,0.5,0.6,0.7,0.8,0.9,1,0.2,0.4,0.5,0.6,0.7,0.8,0.9,1.00E+00,2.00E-01,0.4,0.5,0.6,0.7,0.8,0.9,1,0.2,0.4,0.5,0.6,0.7,0.8,0.9,1,0.2,0.4,0.5,0.6,0.7,0.8,0.9,1,0.2,0.4,0.5,0.6,0.7,0.8,0.9,1,0,0,0
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1.60E+01,1.70E+01,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,20,40,50,60,70,80,90,100,12.79875841,25.59751681,31.99689602,38.39627522,44.79565442,51.19503363,57.59441283,6.40E+01,9.99E+00,19.98965339,24.98706674,29.98448008,34.98189343,39.97930678,44.97672012,49.97413347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,19.8204142,39.64082841,49.55103551,59.46124261,69.37144972,79.28165682,89.19186392,99.10207102,12.68494042,25.36988085,31.71235106,38.05482127,44.39729148,50.73976169,57.0822319,6.34E+01,9.83E+00,19.66507963,24.58134954,29.49761945,34.41388936,39.33015927,44.24642917,49.16269908,1.075118107,2.150236214,2.687795268,3.225354322,3.762913375,4.300472429,4.838031482,5.375590536,0.473538,0.947076001,1.183845001,1.420614001,1.657383002,1.894152002,2.130921002,2.367690002,0.190872964,0.381745927,0.477182409,0.572618891,0.668055373,0.763491855,0.858928337,0.954364819,-0.236109227,-0.097717109,-0.036955545
2,19.52674328,39.05348655,48.81685819,58.58022983,68.34360147,78.10697311,87.87034475,97.63371638,12.65774077,25.31548153,31.64435191,37.9732223,44.30209268,50.63096306,56.95983344,6.33E+01,9.91E+00,19.8101605,24.76270062,29.71524075,34.66778087,39.620321,44.57286112,49.52540125,2.20800971,4.41601942,5.520024274,6.624029129,7.728033984,8.832038839,9.936043694,11.04004855,0.888526958,1.777053916,2.221317395,2.665580874,3.109844354,3.554107833,3.998371312,4.442634791,0.537280958,1.074561916,1.343202395,1.611842874,1.880483353,2.149123831,2.41776431,2.686404789,-0.61387702,-0.20737658,-0.11799354
3,19.19184403,38.38368807,47.97961009,57.5755321,67.17145412,76.76737614,86.36329816,95.95922017,12.49590348,24.99180697,31.23975871,37.48771045,43.73566219,49.98361393,56.23156568,6.25E+01,9.83E+00,19.65764612,24.57205766,29.48646919,34.40088072,39.31529225,44.22970378,49.14411531,3.055612663,6.111225326,7.639031657,9.166837989,10.69464432,12.22245065,13.75025698,15.27806331,1.412989142,2.825978283,3.532472854,4.238967425,4.945461996,5.651956567,6.358451138,7.064945709,0.840088283,1.680176566,2.100220708,2.52026485,2.940308991,3.360353133,3.780397274,4.200441416,-1.056368133,-0.392843184,-0.208100811
4,18.91256298,37.82512596,47.28140745,56.73768894,66.19397042,75.65025191,85.1065334,94.56281489,12.39293083,24.78586167,30.98232709,37.1787925,43.37525792,49.57172334,55.76818876,61.96465417,9.758320748,19.5166415,24.39580187,29.27496224,34.15412262,39.03328299,43.91244337,48.79160374,3.538239065,7.076478131,8.845597663,10.6147172,12.38383673,14.15295626,15.92207579,17.69119533,1.704650667,3.409301333,4.261626666,5.113952,5.966277333,6.818602666,7.670927999,8.523253333,1.103433719,2.206867439,2.758584299,3.310301158,3.862018018,4.413734878,4.965451737,5.517168597,-1.426142605,-0.529556904,-0.306779722
5,18.51390787,37.02781574,46.28476968,55.54172361,64.79867755,74.05563149,83.31258542,92.56953936,12.28158876,24.56317752,30.7039719,36.84476628,42.98556066,49.12635504,55.26714942,61.40794379,9.677907184,19.35581437,24.19476796,29.03372155,33.87267514,38.71162874,43.55058233,48.38953592,4.017603961,8.035207921,10.0440099,12.05281188,14.06161386,16.07041584,18.07921782,20.0880198,1.955402413,3.910804826,4.888506032,5.866207239,6.843908445,7.821609652,8.799310858,9.777012064,1.331198499,2.662396999,3.327996249,3.993595498,4.659194748,5.324793998,5.990393248,6.655992497,-1.963860811,-0.676010026,-0.413542417
6,18.09235474,36.18470947,45.23088684,54.27706421,63.32324158,72.36941895,81.41559632,90.46177369,12.10286622,24.20573244,30.25716555,36.30859866,42.36003177,48.41146488,54.46289799,60.5143311,9.590957754,19.18191551,23.97739438,28.77287326,33.56835214,38.36383101,43.15930989,47.95478877,4.34917542,8.69835084,10.87293855,13.04752626,15.22211397,17.39670168,19.57128939,21.7458771,2.264253349,4.528506698,5.660633373,6.792760047,7.924886722,9.057013396,10.18914007,11.32126675,1.527015951,3.054031901,3.817539876,4.581047852,5.344555827,6.108063802,6.871571778,7.635079753,-2.546224835,-0.912642733,-0.527910821
7,17.65381514,35.30763028,44.13453785,52.96144542,61.788353,70.61526057,79.44216814,88.26907571,11.97741386,23.95482772,29.94353465,35.93224158,41.92094851,47.90965544,53.89836237,59.8870693,9.498978629,18.99795726,23.74744657,28.49693589,33.2464252,37.99591452,42.74540383,47.49489315,4.570446503,9.140893007,11.42611626,13.71133951,15.99656276,18.28178601,20.56700926,22.85223252,2.431111427,4.862222855,6.077778568,7.293334282,8.508889996,9.724445709,10.94000142,12.15555714,1.694280967,3.388561934,4.235702417,5.0828429,5.929983384,6.777123867,7.624264351,8.471404834,-3.166520863,-1.080848195,-0.649416638
