BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,’¼1,’¼1,’¼1,’¼1,’¼1,’¼2,’¼2,’¼2,’¼2,’¼2,B1,B2
#,0.48,0.625,0.75,0.875,1,0.48,0.625,0.75,0.875,1,0.48,0.625,0.75,0.875,1,0.48,0.625,0.75,0.875,1,0,0
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,64,83.33333333,100,116.6666667,133.3333333,44.98360656,58.57240437,70.28688525,82.00136612,93.71584699,0,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,0
1,62.668953,81.60019921,97.92023906,114.2402789,130.5603187,44.56545147,58.0279316,69.63351792,81.23910424,92.84469056,1.972299507,2.568098317,3.08171798,3.595337643,4.108957307,7.16E-01,9.32E-01,1.118019412,1.304355981,1.49069255,0.12718581,0.043292687
2,61.06798855,79.51561009,95.41873211,111.3218541,127.2249761,43.73796145,56.95047064,68.34056477,79.73065889,91.12075302,4.480593361,5.834105939,7.000927126,8.167748314,9.334569502,2.01E+00,2.62E+00,3.147069806,3.67158144,4.196093075,0.346844169,0.138227087
3,59.35861146,77.28985868,92.74783041,108.2058021,123.6637739,42.92278703,55.88904562,67.06685474,78.24466386,89.42247298,6.515009667,8.483085503,10.1797026,11.8763197,13.57293681,3.15E+00,4.10E+00,4.920733615,5.740855885,6.560978154,0.598650878,0.243785963
4,57.81603479,75.28129531,90.33755437,105.3938134,120.4500725,42.12100096,54.84505333,65.814064,76.78307466,87.75208533,8.144307767,10.60456741,12.72548089,14.84639437,16.96730785,4.14E+00,5.39E+00,6.463253332,7.540462221,8.617671109,0.879875427,0.359386345
5,56.12192315,73.07542076,87.69050492,102.3055891,116.9206732,41.43592582,53.95302841,64.74363409,75.53423977,86.32484545,9.430680875,12.27953239,14.73543887,17.19134535,19.64725182,4.99E+00,6.50E+00,7.797362892,9.096923374,10.39648386,1.187869829,0.48445672
6,54.44924955,70.89746035,85.07695242,99.25644449,113.4359366,40.63709003,52.91287764,63.49545317,74.0780287,84.66060423,10.43013462,13.58090445,16.29708534,19.01326623,21.72944712,5.724380255,7.453620123,8.944344148,10.43506817,11.9257922,1.520068615,0.618437032
7,53.35088465,69.46729772,83.36075726,97.25421681,111.1476764,39.84193645,51.87752142,62.25302571,72.62852999,83.00403428,10.96204945,14.27350189,17.12820227,19.98290265,22.83760303,6.351412707,8.270068629,9.924082355,11.57809608,13.23210981,1.753751808,0.760778682
8,51.87814051,67.54966212,81.05959455,94.56952697,108.0794594,39.05244159,50.84953332,61.01943999,71.18934665,81.35925331,11.5921182,15.0939039,18.11268468,21.13146546,24.15024625,6.883277229,8.962600559,10.75512067,12.54764078,14.34016089,2.120814321,0.910944527
9,50.30364253,65.49953454,78.59944145,91.69934835,104.7992553,38.27068155,49.8316166,59.79793992,69.76426323,79.73058655,12.05713415,15.69939343,18.83927212,21.9791508,25.11902949,7.331016749,9.545594725,11.45471367,13.36383262,15.27295156,2.505643399,1.068408883
10,48.78196083,63.51817817,76.2218138,88.92544943,101.6290851,37.49867507,48.82639983,58.5916798,68.35695977,78.12223973,12.39348857,16.1373549,19.36482588,22.59229686,25.81976784,7.704883119,10.03239989,12.03887987,14.04535985,16.05183983,2.90597615,1.232657521
11,47.18882817,61.44378668,73.73254401,86.02130135,98.31005868,36.73832224,47.83635708,57.40362849,66.97089991,76.53817132,12.63301644,16.44924016,19.73908819,23.02893622,26.31878425,8.014370104,10.43537774,12.52245329,14.60952884,16.69660438,3.319632198,1.40318767
12,45.7938916,59.62746302,71.55295563,83.47844823,95.40394084,36.09081143,46.99324405,56.39189286,65.79054168,75.18919049,12.80331716,16.67098588,20.00518306,23.33938023,26.67357741,8.268245738,10.76594497,12.91913397,15.07232296,17.22551195,3.744513689,1.579508016
13,44.90142582,58.4653982,70.15847784,81.85155748,93.54463712,35.3568635,46.03758268,55.24509921,64.45261575,73.66013228,12.89023477,16.78415986,20.14099183,23.4978238,26.85465577,8.474584047,11.03461464,13.24153757,15.4484605,17.65538343,4.033005751,1.761138701
14,43.62140324,56.79870214,68.15844256,79.51818299,90.87792342,34.63943033,45.10342491,54.12410989,63.14479488,72.16547986,12.99596386,16.92182794,20.30619353,23.69055911,27.0749247,8.640796146,11.25103665,13.50124398,15.75145131,18.00165864,4.472158545,1.947611325
15,42.41399911,55.22656134,66.27187361,77.31718587,88.36249814,33.93981839,44.19247186,53.03096623,61.8694606,70.70795497,13.08768463,17.04125603,20.44950723,23.85775844,27.26600965,8.773660703,11.42403737,13.70884485,15.99365232,18.2784598,4.917345936,2.138468945
16,41.16754545,53.6035748,64.32428976,75.04500472,85.76571968,33.1675575,43.18692383,51.8243086,60.46169336,69.09907813,13.18004354,17.16151503,20.59381803,24.02612104,27.45842404,8.879353768,11.56165855,13.87399026,16.18632197,18.49865368,5.366772645,2.333266073
17,40.11264392,52.23000511,62.67600613,73.12200715,83.56800817,32.50874639,42.32909687,50.79491624,59.26073561,67.72655499,13.28481237,17.29793278,20.75751933,24.21710589,27.67669245,8.963477978,11.67119528,14.00543434,16.3396734,18.67391245,5.818725911,2.531568682
18,39.02586091,50.81492306,60.97790767,71.14089228,81.30387689,31.87075928,41.49838448,49.79806137,58.09773827,66.39741516,13.41115091,17.46243608,20.95492329,24.44741051,27.93989772,9.031091127,11.75923324,14.11107989,16.46292653,18.81477318,6.271575495,2.732954197
19,38.41598261,50.02081069,60.02497282,70.02913496,80.0332971,31.25434478,40.69576143,48.83491371,56.974066,65.11321828,13.51080761,17.59219741,21.1106369,24.62907638,28.14751586,9.086734103,11.83168503,14.19802204,16.56435904,18.93069605,6.573205469,2.937011504
20,37.56253011,48.90954441,58.6914533,68.47336218,78.25527106,30.66012564,39.92203859,47.90644631,55.89085403,63.87526175,13.68715196,17.82181245,21.38617494,24.95053743,28.51489992,9.134458203,11.89382578,14.27259094,16.6513561,19.03012126,7.024150289,3.143340945
21,36.68092179,47.76161691,57.3139403,66.86626368,76.41858706,30.08860362,39.1778693,47.01344316,54.84901701,62.68459087,13.89860967,18.097148,21.7165776,25.3360072,28.9554368,9.177851803,11.95032787,14.34039344,16.73045901,19.12052459,7.472047552,3.351554316
22,35.8737365,46.7105944,56.05271327,65.39483215,74.73695103,29.54016409,38.46375532,46.15650639,53.84925745,61.54200852,14.14684515,18.42037129,22.10444555,25.78851981,29.47259406,9.22006641,12.0052948,14.40635377,16.80741273,19.20847169,7.915569593,3.561274874
23,35.23295594,45.87624471,55.05149366,64.2267426,73.40199154,28.93538543,37.67628311,45.21153973,52.74679635,60.28205297,14.4320014,18.7916685,22.55000219,26.30833589,30.06666959,9.263842079,12.06229437,14.47475325,16.88721212,19.299671,8.353471266,3.77213733
24,34.56172907,45.00225139,54.00270166,63.00315194,72.00360222,28.43520083,37.02500108,44.43000129,51.83500151,59.24000173,14.75290471,19.20951134,23.0514136,26.89331587,30.73521814,9.311532194,12.12439088,14.54926905,16.97414723,19.3990254,8.784589945,3.983787855
25,34.21109807,44.54570062,53.45484074,62.36398087,71.27312099,27.95853456,36.40434188,43.68521026,50.96607863,58.24694701,14.98560647,19.51250842,23.4150101,27.31751179,31.22001347,9.365127624,12.19417659,14.63301191,17.07184723,19.51068255,9.067697286,4.195884074
26,33.64078936,43.80311115,52.56373338,61.32435561,70.08497784,27.43006207,35.71622666,42.85947199,50.00271732,57.14596265,15.36051565,20.00067141,24.0008057,28.00093998,32.00107426,9.426280248,12.27380241,14.72856289,17.18332337,19.63808385,9.485151493,4.408095071
27,33.12512734,43.13167623,51.75801147,60.38434672,69.01068196,27.00139761,35.15806981,42.18968377,49.22129773,56.25291169,15.76305143,20.52480656,24.62976787,28.73472918,32.83969049,9.496325843,12.36500761,14.83800913,17.31101065,19.78401217,9.893125804,4.620101385
28,32.65855413,42.52415902,51.02899083,59.53382263,68.03865444,26.59578755,34.6299317,41.55591804,48.48190438,55.40789072,16.18879845,21.07916465,25.29499758,29.51083051,33.72666344,9.57630635,12.46914889,14.96297867,17.45680845,19.95063823,10.29076017,4.831595014
29,32.23515577,41.97285907,50.36743088,58.7620027,67.15657451,26.14143111,34.03832175,40.8459861,47.65365045,54.46131481,16.63284478,21.65734998,25.98881997,30.32028997,34.65175996,9.666991503,12.58722852,15.10467422,17.62211993,20.13956563,10.67727705,5.042279411
30,31.8487004,41.46966198,49.76359437,58.05752677,66.35145916,25.7818774,33.57015287,40.28418345,46.99821402,53.71224459,17.08992876,22.2525114,26.70301368,31.15351596,35.60401824,9.768899827,12.71992165,15.26390598,17.80789031,20.35187464,11.05198144,5.251869489
31,31.66568611,41.23136212,49.47763455,57.72390697,65.9701794,25.44411326,33.13035581,39.75642697,46.38249813,53.00856929,17.3991958,22.65520287,27.18624344,31.71728401,36.24832459,9.882319005,12.86760287,15.44112345,18.01464402,20.58816459,11.29491602,5.460091613
32,31.32600647,40.78907093,48.94688511,57.1046993,65.26251348,25.05929995,32.62929681,39.15515618,45.68101554,52.2068749,17.86579505,23.26275397,27.91530477,32.56785556,37.22040636,10.00732562,13.0303719,15.63644628,18.24252067,20.84859505,11.64861259,5.666683611
33,31.00560008,40.3718751,48.44625012,56.52062514,64.59500017,24.76414731,32.24498348,38.69398017,45.14297687,51.59197356,18.33069706,23.86809513,28.64171416,33.41533319,38.18895221,10.14380427,13.20807847,15.84969417,18.49130986,21.13292555,11.98904674,5.871394763
34,30.69743099,39.97061326,47.96473592,55.95885857,63.95298122,24.42249294,31.80012102,38.16014522,44.52016943,50.88019363,18.78844832,24.46412542,29.3569505,34.24977558,39.14260066,10.291466,13.40034636,16.08041563,18.7604849,21.44055418,12.31582603,6.073985808
35,30.39434949,39.5759759,47.49117107,55.40636625,63.32156143,24.16687315,31.46728274,37.76073929,44.05419584,50.34765239,19.23379534,25.04400435,30.05280522,35.06160609,40.07040697,10.44986623,13.60659666,16.32791599,19.04923532,21.77055465,12.62864055,6.274228942
36,30.08914387,39.17857275,47.0142873,54.85000185,62.6857164,23.86475892,31.07390484,37.28868581,43.50346677,49.71824774,19.66177354,25.60126763,30.72152116,35.84177468,40.96202821,10.61842188,13.82607016,16.59128419,19.35649822,22.12171225,12.92726289,6.471907818
37,29.77459588,38.76900505,46.52280606,54.27660707,62.03040807,23.64506301,30.78784247,36.94541096,43.10297945,49.26054795,20.06778581,26.12992944,31.35591533,36.58190121,41.8078871,10.796428,14.05784896,16.86941876,19.68098855,22.49255834,13.21154819,6.666817545
38,29.52639933,38.44583246,46.13499895,53.82416544,61.51333193,23.37837135,30.4405877,36.52870524,42.61682278,48.70494032,20.32418268,26.46377954,31.75653544,37.04929135,42.34204726,10.98307373,14.30087726,17.16105271,20.02122816,22.88140361,13.39307251,6.858764691
39,29.17982935,37.99456947,45.59348336,53.19239725,60.79131114,23.19051186,30.19597898,36.23517478,42.27437058,48.31356637,20.68457984,26.93304666,32.31965599,37.70626532,43.09287466,11.17745759,14.55398124,17.46477749,20.37557374,23.28636999,13.6533649,7.047567279
40,28.8049889,37.50649597,45.00779516,52.50909436,60.01039355,22.95468046,29.88890685,35.86668823,41.8444696,47.82225097,21.0130365,27.36072461,32.83286953,38.30501445,43.77715937,11.37860219,14.81588827,17.77906592,20.74224358,23.70542123,13.89933735,7.233054789
41,28.39517853,36.97288871,44.36746645,51.76204419,59.15662193,22.79414414,29.67987518,35.61585022,41.55182525,47.48780029,21.30681044,27.74324276,33.29189131,38.84053986,44.38918842,11.58546828,15.08524516,18.10229419,21.11934322,24.13639225,14.13114753,7.415068159
42,27.94400951,36.38542905,43.66251486,50.93960067,58.21668648,22.58422102,29.40653778,35.28784534,41.1691529,47.05046046,21.5637586,28.07781067,33.6933728,39.30893494,44.92449707,11.79696819,15.36063566,18.4327628,21.50488993,24.57701706,14.34903568,7.593459784
43,27.44548492,35.73630849,42.88357019,50.03083189,57.17809359,22.3854595,29.14773372,34.97728047,40.80682721,46.63637396,21.78235776,28.36244501,34.03493401,39.70742301,45.37991201,12.01197861,15.64059715,18.76871658,21.89683601,25.02495544,14.55332453,7.768093515
44,27.04897154,35.22001503,42.26401803,49.30802104,56.35202404,22.25682446,28.98024018,34.77628822,40.57233625,46.36838429,21.9063186,28.52385235,34.22862282,39.93339329,45.63816375,12.22935279,15.92363644,19.10836373,22.29309102,25.47781831,14.68215866,7.938844661
45,26.45829593,34.45090616,41.3410874,48.23126863,55.12144986,22.07584574,28.74459081,34.49350897,40.24242714,45.9913453,22.05933026,28.72308627,34.46770352,40.21232078,45.95693803,12.44793201,16.20824481,19.44989377,22.69154273,25.9331917,14.86472333,8.105599987
46,25.80677851,33.60257619,40.32309143,47.04360667,53.76412191,21.96173726,28.59601206,34.31521447,40.03441689,45.7536193,22.17300854,28.87110486,34.64532584,40.41954681,46.19376778,12.66655658,16.49291221,19.79149465,23.0900771,26.38865954,15.03495277,8.268257714
47,25.0906411,32.6701056,39.20412672,45.73814784,52.27216895,21.79287055,28.37613353,34.05136023,39.72658694,45.40181364,22.2481147,28.96889935,34.76267921,40.55645908,46.35023895,12.88407601,16.77614064,20.13136876,23.48659689,26.84182502,15.19347228,8.426727524
48,24.30693376,31.64965334,37.979584,44.30951467,50.63944534,21.6277639,28.16115091,33.7933811,39.42561128,45.05784146,22.28599115,29.01821764,34.82186116,40.62550469,46.42914822,13.09935873,17.05645668,20.46774802,23.87903936,27.29033069,15.3409897,8.580930551
49,23.45363552,30.53858792,36.6463055,42.75402309,48.86174067,21.5251485,28.02753711,33.63304454,39.23855196,44.84405938,22.28852417,29.02151584,34.82581901,40.63012218,46.43442535,13.31130108,17.33242328,20.79890794,24.26539259,27.73187725,15.47829538,8.73079939
50,22.80189846,29.68997196,35.62796635,41.56596074,47.50395513,21.36324155,27.81672076,33.38006492,38.94340907,44.50675322,22.27173549,28.99965558,34.7995867,40.59951782,46.39944893,13.51883566,17.6026506,21.12318072,24.64371084,28.16424096,15.56458697,8.87627809
51,21.82960164,28.42396047,34.10875256,39.79354465,45.47833675,21.20037047,27.60464905,33.12557886,38.64650867,44.16743848,22.22087696,28.93343354,34.72012025,40.50680695,46.29349366,13.72093913,17.86580616,21.43896739,25.01212862,28.58528985,15.68685355,9.017322159
52,20.78774355,27.06737441,32.48084929,37.89432417,43.30779906,21.09636884,27.46923026,32.96307631,38.45692236,43.95076841,22.14197052,28.83069079,34.59682894,40.3629671,46.12910526,13.91663929,18.12062407,21.74474889,25.3688737,28.99299852,15.80141943,9.153898561
