BveTs Vehicle Performance Table 1.00,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#,•Ï1,•Ï1,•Ï1,•Ï1,•Ï1,•Ï2,•Ï2,•Ï2,•Ï2,•Ï2,’¼1,’¼1,’¼1,’¼1,’¼1,’¼2,’¼2,’¼2,’¼2,’¼2,B1,B2
#,2.187262177,2.847997627,3.417597152,3.987196677,4.556796203,1.537358457,2.001768824,2.402122588,2.802476353,3.202830118,0.761158198,0.991091403,1.189309684,1.387527965,1.585746245,0.519260482,0.676120419,0.811344502,0.946568586,1.08179267,-0.610295019,-0.404473903
#,0.779277033,1.014683636,1.217620363,1.420557091,1.623493818,0.730109535,0.950663457,1.140796148,1.330928839,1.521061531,0.404993042,0.52733469,0.632801628,0.738268566,0.843735503,0.462247562,0.601884846,0.722261815,0.842638784,0.963015753,0,-0.787576034
#,0.48,0.625,0.75,0.875,1,0.48,0.625,0.75,0.875,1,0.48,0.625,0.75,0.875,1,0.48,0.625,0.75,0.875,1,0,0
#,1,2,3,4,5,7,8,9,10,11,9,10,11,12,13,17,18,19,20,21,25,26
0,16829.76731,21913.75952,26296.51142,30679.26332,35062.01523,11829.11924,15402.499,18482.99881,21563.49861,24643.99841,0,0,0,0,0,0,0,0,0,0,0,0
1,16479.74838,21458.0057,25749.60685,30041.20799,34332.80913,11719.15903,15259.32166,18311.18599,21363.05032,24414.91465,518.6459651,675.3202671,810.3843205,945.4483739,1080.512427,188.1600656,245.0000854,294.0001025,343.0001196,392.0001366,-44.59390803,-15.17928845
2,16058.75058,20909.83149,25091.79779,29273.76408,33455.73038,11501.55803,14975.98702,17971.18442,20966.38182,23961.57922,1178.239745,1534.166334,1840.999601,2147.832868,2454.666135,529.6445254,689.6413091,827.5695709,965.4978327,1103.426095,-121.6105553,-48.46520228
3,15609.24404,20324.53651,24389.44382,28454.35112,32519.25842,11287.19559,14696.86926,17636.24312,20575.61697,23514.99082,1713.220261,2230.755548,2676.906658,3123.057767,3569.208877,828.1480174,1078.317731,1293.981277,1509.644823,1725.30837,-209.8990619,-85.47627148
4,15203.60019,19796.35442,23755.6253,27714.89618,31674.16707,11076.35383,14422.33571,17306.80286,20191.27,23075.73714,2141.668822,2788.631279,3346.357535,3904.08379,4461.810046,1087.750496,1416.341792,1699.610151,1982.878509,2266.146867,-308.5020563,-126.008095
5,14758.10793,19216.28637,23059.54364,26902.80091,30746.05819,10896.20296,14187.76428,17025.31713,19862.86999,22700.42284,2479.940073,3229.088637,3874.906365,4520.724092,5166.541819,1312.278031,1708.695353,2050.434423,2392.173494,2733.912564,-416.4911004,-169.860289
